NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Eugenia Troncoso Leone,"LEONE, E. T.",SIM,"""Mercado de Trabalho nas áreas metropolitanas de 1992 a 2002: efeitos sobre a população masculina e feminina"" Bolsa de Produtividade em Pesquisa - PQ 1C - Processo: 501287/2003-5."
Ana Luiza Lodi,"LODI, A. L.",NAO,"""Mercado de Trabalho nas áreas metropolitanas de 1992 a 2002: efeitos sobre a população masculina e feminina"" Bolsa de Produtividade em Pesquisa - PQ 1C - Processo: 501287/2003-5."
Fabiola Braunger Valio,"VALIO, Fabiola",NAO,"""Mercado de Trabalho nas áreas metropolitanas de 1992 a 2002: efeitos sobre a população masculina e feminina"" Bolsa de Produtividade em Pesquisa - PQ 1C - Processo: 501287/2003-5."
Marcelo Tavares,"TAVARES, M.",NAO,"""Mercado de Trabalho nas áreas metropolitanas de 1992 a 2002: efeitos sobre a população masculina e feminina"" Bolsa de Produtividade em Pesquisa - PQ 1C - Processo: 501287/2003-5."
Eugenia Troncoso Leone,"LEONE, E. T.",SIM,"""Estrutura ocupacional, diversidade de rendimentos e gênero em Regiões Metropolitanas do Brasil"". Edital CNPq 032/2004 - Ciências Humanas, Sociais e Sociais Aplicadas. Processo: 401613/2004-6."
Ana Luiza Lodi,"LODI, A. L.",NAO,"""Estrutura ocupacional, diversidade de rendimentos e gênero em Regiões Metropolitanas do Brasil"". Edital CNPq 032/2004 - Ciências Humanas, Sociais e Sociais Aplicadas. Processo: 401613/2004-6."
Fabiola Braunger Valio,"VALIO, Fabiola",NAO,"""Estrutura ocupacional, diversidade de rendimentos e gênero em Regiões Metropolitanas do Brasil"". Edital CNPq 032/2004 - Ciências Humanas, Sociais e Sociais Aplicadas. Processo: 401613/2004-6."
Marcelo Tavares,"TAVARES, M.",NAO,"""Estrutura ocupacional, diversidade de rendimentos e gênero em Regiões Metropolitanas do Brasil"". Edital CNPq 032/2004 - Ciências Humanas, Sociais e Sociais Aplicadas. Processo: 401613/2004-6."
Silvia Antunes,"ANTUNES, S.",NAO,"""Estrutura ocupacional, diversidade de rendimentos e gênero em Regiões Metropolitanas do Brasil"". Edital CNPq 032/2004 - Ciências Humanas, Sociais e Sociais Aplicadas. Processo: 401613/2004-6."
Maria de Lourdes Alencar,"ALENCAR, M. L.",NAO,"""Estrutura ocupacional, diversidade de rendimentos e gênero em Regiões Metropolitanas do Brasil"". Edital CNPq 032/2004 - Ciências Humanas, Sociais e Sociais Aplicadas. Processo: 401613/2004-6."
Eugenia Troncoso Leone,"LEONE, E. T.",NAO,Pólos Regionais e Regiões Metropolitanas do Estado de São Paulo: desigualdades sociais e indicadores para políticas - Edital de Chamada MCT/FINEP/FNDCT Pesquisas em Ciências Sociais 04/6.
Claudio Salvadori Dedecca,"DEDECCA, C. S.",SIM,Pólos Regionais e Regiões Metropolitanas do Estado de São Paulo: desigualdades sociais e indicadores para políticas - Edital de Chamada MCT/FINEP/FNDCT Pesquisas em Ciências Sociais 04/6.
Lilian Montali,"MONTALI, L.",NAO,Pólos Regionais e Regiões Metropolitanas do Estado de São Paulo: desigualdades sociais e indicadores para políticas - Edital de Chamada MCT/FINEP/FNDCT Pesquisas em Ciências Sociais 04/6.
