NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Edson Borin,"BORIN, E.;BORIN, EDSON",SIM,Acelerando sistemas de recuperação de imagens por conteúdo (CBIR) com GPUs e APUs
Ricardo da Silva Torres,"TORRES, R. S.",NAO,Acelerando sistemas de recuperação de imagens por conteúdo (CBIR) com GPUs e APUs
Daniel Carlos Guimarães Pedronette,"PEDRONETTE, D. C. G.",NAO,Acelerando sistemas de recuperação de imagens por conteúdo (CBIR) com GPUs e APUs
Edson Borin,"BORIN, E.;BORIN, EDSON",SIM,Algoritmos e suporte em hardware para projeto de máquinas virtuais eficientes
Guido Araújo,"ARAUJO, G.",NAO,Algoritmos e suporte em hardware para projeto de máquinas virtuais eficientes
Rodolfo Azevedo,"AZEVEDO, R.",NAO,Algoritmos e suporte em hardware para projeto de máquinas virtuais eficientes
Sandro Rigo,"RIGO, S.",NAO,Algoritmos e suporte em hardware para projeto de máquinas virtuais eficientes
Edson Borin,"BORIN, E.;BORIN, EDSON",NAO,Técnicas de Formação e Identificação de Regiões Quentes e Paralelização de Laços usando Software Pipeline Desacoplado
Guido Araújo,"ARAUJO, G.",SIM,Técnicas de Formação e Identificação de Regiões Quentes e Paralelização de Laços usando Software Pipeline Desacoplado
Sandro Rigo,"RIGO, S.",NAO,Técnicas de Formação e Identificação de Regiões Quentes e Paralelização de Laços usando Software Pipeline Desacoplado
Edson Borin,"BORIN, E.;BORIN, EDSON",NAO,"ExaMind: Busca, Classificação e Visualização de Dados Complexos em Grande Escala Utilizando Processamento de Alto Desempenho"
Rodolfo Azevedo,"AZEVEDO, R.",NAO,"ExaMind: Busca, Classificação e Visualização de Dados Complexos em Grande Escala Utilizando Processamento de Alto Desempenho"
Ricardo da Silva Torres,"TORRES, R. S.",SIM,"ExaMind: Busca, Classificação e Visualização de Dados Complexos em Grande Escala Utilizando Processamento de Alto Desempenho"
Eduardo Alves do Valle Junior,"VALLE JUNIOR, E. A.",NAO,"ExaMind: Busca, Classificação e Visualização de Dados Complexos em Grande Escala Utilizando Processamento de Alto Desempenho"
Hélio Pedrini,"PEDRINI, H.",NAO,"ExaMind: Busca, Classificação e Visualização de Dados Complexos em Grande Escala Utilizando Processamento de Alto Desempenho"
Siome Klein Goldenstein,"GOLDENSTEIN, S. K.",NAO,"ExaMind: Busca, Classificação e Visualização de Dados Complexos em Grande Escala Utilizando Processamento de Alto Desempenho"
Anderson Rocha,"ROCHA, A.",NAO,"ExaMind: Busca, Classificação e Visualização de Dados Complexos em Grande Escala Utilizando Processamento de Alto Desempenho"
Jacques Wainer,"WAINER, J.",NAO,"ExaMind: Busca, Classificação e Visualização de Dados Complexos em Grande Escala Utilizando Processamento de Alto Desempenho"
George Teodoro,"TEODORO, G.",NAO,"ExaMind: Busca, Classificação e Visualização de Dados Complexos em Grande Escala Utilizando Processamento de Alto Desempenho"
William Robson Schwartz,"SCHWARTZ, W. R.",NAO,"ExaMind: Busca, Classificação e Visualização de Dados Complexos em Grande Escala Utilizando Processamento de Alto Desempenho"
Edson Borin,"BORIN, E.;BORIN, EDSON",SIM,Content-Based Image Retrieval (CBIR) on APU Clouds
Ricardo da Silva Torres,"TORRES, R. S.",NAO,Content-Based Image Retrieval (CBIR) on APU Clouds
Daniel Carlos Guimarães Pedronette,"PEDRONETTE, D. C. G.",NAO,Content-Based Image Retrieval (CBIR) on APU Clouds
Edson Borin,"BORIN, E.;BORIN, EDSON",NAO,Modelagem de consumo de energia em dispositivos móveis baseados em processadores ARM
Sandro Rigo,"RIGO, S.",SIM,Modelagem de consumo de energia em dispositivos móveis baseados em processadores ARM
Edson Borin,"BORIN, E.;BORIN, EDSON",SIM,Algoritmos e suporte em hardware para o projeto da máquina virtual Open-ISA VM
Rodolfo Azevedo,"AZEVEDO, R.",NAO,Algoritmos e suporte em hardware para o projeto da máquina virtual Open-ISA VM
Sandro Rigo,"RIGO, S.",NAO,Algoritmos e suporte em hardware para o projeto da máquina virtual Open-ISA VM
Guido Araujo,"ARAUJO, G.",NAO,Algoritmos e suporte em hardware para o projeto da máquina virtual Open-ISA VM
Edson Borin,"BORIN, E.;BORIN, EDSON",NAO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Philippe Remy Bernard Devloo,"DEVLOO, P. R. B.",SIM,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Sônia Maria Gomes,"GOMES, S. M.",NAO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Edson Borin,"BORIN, E.;BORIN, EDSON",NAO,Algorithms and techniques to accelerate numerical simulation in the cloud
Juliana Freitag Borin,"BORIN, J. F.",SIM,Algorithms and techniques to accelerate numerical simulation in the cloud
Edson Borin,"BORIN, E.;BORIN, EDSON",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Ricardo da Silva Torres,"TORRES, R. S.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Eduardo Alves do Valle Junior,"VALLE JUNIOR, E. A.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Hélio Pedrini,"PEDRINI, H.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Siome Klein Goldenstein,"GOLDENSTEIN, S. K.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Anderson Rocha,"ROCHA, A.",SIM,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Jacques Wainer,"WAINER, J.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
William Robson Schwartz,"SCHWARTZ, W. R.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
André Luiz da Costa Morisson,"MORISSON, A. L. C.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Paulo Max Gil Innocencio Reis,"REIS, P. M. G. I.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Jorge de Albuquerque Lambert,"LAMBERT, J. A.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Jefersson Alex dos Santos,"SANTOS, J. A.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
David Menotti Gomes,"GOMES, D. M.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
"CHIACHIA, G.","CHIACHIA, G.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Arnaldo Albuquerque de Araújo,"ARAUJO, A. A.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Nelson Luis Saldanha da Fonseca,"FONSECA, N. L. S.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Flavio de Barros Vidal,"VIDAL, F. B.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Dibio Leandro Borges,"BORGES, D. L.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Edson Borin,"BORIN, E.;BORIN, EDSON",SIM,Integração de computação heterogênea e computação na nuvem para solução de problemas de engenharia e ciência
Mauricio Breternitz Jr.,"BRETERNITZ JR., M",NAO,Integração de computação heterogênea e computação na nuvem para solução de problemas de engenharia e ciência
Ricardo da Silva Torres,"TORRES, R. S.",NAO,Integração de computação heterogênea e computação na nuvem para solução de problemas de engenharia e ciência
