NOME_INSTITUICAO,NATUREZA,PROJETO_NOME
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,Um estudo sobre a produção em arte e tecnologia no curso de Licenciatura em Música do Instituto de Artes da Unicamp como embasamento para análise dos impactos das novas tecnologias na arte-educação
Universidade Estadual de Campinas,BOLSA,Oficina de musicalização infantil
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,BOLSA,PIBID
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,BOLSA,PIBID
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,AUXILIO_FINANCEIRO,LIFE
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,AUXILIO_FINANCEIRO,PROCAD/Casadinho/CAPES
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,BOLSA,Educação Musical: Teoria e Prática
Universidade Estadual de Campinas,AUXILIO_FINANCEIRO,Projeto PIBIC Ensino Médio-?Tecnologias aplicadas ao ensino e aprendizagem musical?
Programa Institucional de Bolsas de Iniciação Científica - Universidade Est,BOLSA,Um estudo sobre a produção em arte e tecnologia no curso de Licenciatura em Música do Instituto de Artes da Unicamp como embasamento para análise dos impactos das novas tecnologias na arte-educação
Pró-Reitoria de Extensão e Assuntos Comunitários,AUXILIO_FINANCEIRO,Oficinas de música para crianças e adolescentes com deficiência cognitiva
Universidade Estadual de Campinas,AUXILIO_FINANCEIRO,Oficinas de música para crianças e adolescentes com deficiência cognitiva
Prefeitura Municipal de São José do Rio Preto,COOPERACAO,Conexão do Saber
Prefeitura Municipal de Santos,COOPERACAO,Conexão do Saber
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,AUXILIO_FINANCEIRO,PROCAD/Casadinho/CAPES
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,AUXILIO_FINANCEIRO,Programa de Incentivo de Bolsa de Iniciação à Docência (PIBID)
