ANO_INICIO,ANO_FIM,NOME,SITUACAO,NATUREZA,DESCRICAO
2005,2006,Síntese de Substâncias Farmacológicas Bioativas,DESATIVADO,PESQUISA,NULL
2011,NULL,Enzimas em síntese assimétrica,EM_ANDAMENTO,PESQUISA,NULL
2005,2008,Síntese de Sondas Fluorogênicas para determinação de Atividade Enzimática em Microrganismos,CONCLUIDO,PESQUISA,O corrente projeto tem como objetivos a síntese de substrato fluorogênicos para serem utilizados em ensaios de triagem rápida de atividade enzimática em coleções de microrganismos isolados da biodiversidade brasileira. Este tipo de pré-seleção enzimática permite que as coleções sejam organizadas em subgrupos menores dotados de uma atividade enzimática predominate. O processo de seleção em coleções de microrganismos isolados em ambientes extremos é particularmente interessante devido ao elevado potencial oara aplicaçãoes destas enzimas em processos industriais.
2008,2011,Obtenção de uma lipase termoestável por Evolução Dirigida,DESATIVADO,PESQUISA,NULL
2008,2011,Evolução Dirigida de Enzimas,DESATIVADO,PESQUISA,Obtenção de uma lipase termoestável por Evolução Dirigida
2009,NULL,Searching for Potential Antibiotic Factories in Actinomycetes (Streptomycetes) Isolated from Brazilian Territory,EM_ANDAMENTO,PESQUISA,NULL
2007,NULL,Evolução Dirigida de Enzimas,EM_ANDAMENTO,PESQUISA,Obtenção de epóxido hidrolases enantiosseletivas e enantioconvergentes e outras enzimas de interesse biotecnológico a partir do mining do genoma deStreptomyces
2008,NULL,Explorando a Biodiversidade Brasileira para a obtenção de Policetídeos Macrolídicos Complexos,EM_ANDAMENTO,PESQUISA,"Auxílio à Pesquisa - Programa Jovem Pesuisador - Fapesp
Neste projeto estamos explorando a biodiversidade natural brasileira, em especial bactérias do grupo dos actinomicetos para identificação e caracterização de metabólitos naturais e principalmente a obtenção de produtos naturais ""não naturais"" originados por biossíntese combinatorial."
2008,2011,Obtenção de Lipases Termoestáveis por Evolução Dirigida,DESATIVADO,PESQUISA,Utilizar a estratégia de recombinação para obtenção de uma lipase termoestável a partir de microrganismos isolados de ambientes extremos.
2008,2011,Obtenção das epóxido hidrolases de P. stipitis e R. glutinis,CONCLUIDO,PESQUISA,Obtenção das epóxidos de P. stipitis e R. glutinis por clonagem e expressão dos genes; evolução dirigida das enzimas produzidas para obtenção de epóxido hidrolases enantiosseletivas.
2008,2009,Convênio de Cooperação Técnico-Científica Braskem/UNICAMP,DESATIVADO,PESQUISA,"O convênio visa o intercâmbio em um conjunto de competências complementares para as partes, abrangendo as atividades de disseminação do conhecimento, prestação de serviços, pesquisa e desenvolvimento, formação e treinamento de recursos humanos, absorção e transferência de tecnologias passíveis de aplicação comercial e industrial."
