NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",0,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",0,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",1,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",1,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",2,,,,
"Outros participantes do grupo","et al.","2","",2,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",3,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",3,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",4,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",4,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",5,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",5,,,,
"PEREIRA, Maria Luiza de mello","Maria Luiza de Mello pereira","1","",6,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","2","0741638379707154",6,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","3","3667941735597178",6,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",7,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",7,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",8,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",8,,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",9,,,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","2","3667941735597178",9,,,,
"PEREIRA, Maria Luiza de mello","Maria Luiza de Mello pereira","1","",10,,,,
