DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-ENCONTRO_Id
"Apresentação na forma oral","",7,,,
"Artigo submetido em 4 de Dezembro de 2006","Artigo submetido em 4 de Dezembro de 2006",,0,,
"O curso com catorze horas de duração foi ministrado pela Profª Dra. Dulce H.F.Souza
no período de 6 a 17 de fevereiro","",,,0,
"O curso foi ministrado pelo Prof. Dr. R. Verpoorte, com 14 horas de duração, no período de 13 a 16 de fevereiro de 2006","",,,2,
"O curso com catorze horas de duração foi ministrado pelo Prof. Dr. Antonio Gilberto Ferreira","",,,3,
"O curso foi ministrado pelas Professoras Dras. Madalena M.M. Pinto e Maria S.J. Nascimento com quatorze horas de duração, no período de 6 a 17 de fevereiro","",,,7,
"O curso foi ministrado prlo Prof. Dr. Rajender S. Varma, com catorze horas de duração no periodo de 13 a 16 de fevereiro","",,,8,
"O curso com catorze horas de duração foi ministrado pelo Prof. Fransisco radler Neto no período de 14 a 18 de fevereiro","",,,13,
"O curso com catorze horas de duração foi ministrado pelo Prof. Dr. Gary A. Strobel, no período de 14 a 18 de fevereiro de 2005","",,,14,
"O curso com quinze horas de duração foi ministrado pelo Prof. Dr. Thomas Williasom no período de 9 a 13 de fevereiro de 2004","",,,15,
"O curso com quinze horas de duração foi ministrado pelo Prof. Dr. Nicholas Farrel no periodo de 9a 13 de fevereiro de 2004","",,,18,
"Participação na comissão organizadora
A i semana da química ocorreu no período de 14 a 18 de março de 2005","",,,,0
