PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,PARTICIPACAO-EM-CONGRESSO_Id
"amidas bis-fenilpropanoídicas","Biossíntese","Endophytic fungi","Penicillium","","",0,,,
"amidas bis-fenilpropanoídicas","Penicillium","antihelmintica","","","",,0,,
"Penicillium","Meroterpenos","inseticida","","","",,1,,
"Grupo PET/QUIMICA","Atividades realizadas","","","","",,2,,
"Penicillium","otimização","amidas bis-fenilpropanoídicas","antihelmintica","","",,3,,
"amidas bis-fenilpropanoídicas","Penicillium","HPLC-MS/MS","","","",,4,,
"amidas bis-fenilpropanoídicas","Melia azedarach","Penicillium","Atividade antibiótica","","",,5,,
"atividade anticancer","Penicillium","policetídeos","","","",,6,,
"Biossíntese","amidas bis-fenilpropanoídicas","Melia azedarach","Penicillium","Produtos naturais","",,7,,
"HPLC-MS/MS","Biossíntese","amidas bis-fenilpropanoídicas","Melia azedarach","Penicillium","",,8,,
"amidas bis-fenilpropanoídicas","Atividade antibiótica","Melia azedarach","Penicillium","","",,9,,
"pigmento","HPLC-MS/MS","Endophytic fungi","","","",,10,,
"Endophytic fungi","Atividade antibiótica","","","","",,11,,
"Alcalóides tremorgênicos","Penicillium","Melia azedarach","HPLC-MS/MS","","",,12,,
"Penicillium","policetídeos","Produtos naturais","","","",,13,,
"Citocalasinas","Xylaria","otimização de metabólitos secundários","","","",,14,,
"Melia azedarach","Penicillium","Endophytic fungi","Meroterpenes","Meroterpenoids","",,,0,
"Melia azedarach","Meroterpenes","Endophytic fungi","Penicillium","Bis-Phenylpropanoid","",,,1,
"Endophytic fungi","Preaustinoid A","single crystal x ray study","meroterpens","","",,,2,
"Produtos naturais","","","","","",,,,7
