NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id
"Taícia Pacheco Fill","FILL, Taícia Pacheco","3","",0,,,
"Roberto Gomes de Souza Berlinck","Berlinck, R. G. S.","1","",0,,,
"Monica Talarico Pupo","Pupo, M. T.","2","",0,,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","4","",,0,,
"Dulce Helena Ferreira de Souza","SOUZA, D. H. F.","1","",,0,,
"Amanda Bernardes","Bernardes, A.","2","",,0,,
"Adilson José da Silva","Silva, A. J.","3","",,0,,
"Monica Rosas da Costa Iemma","Iemma, M. R. C.","5","",,0,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","5","",,1,,
"Ljubica Tasic","Tasic, L.","1","",,1,,
"Mirian Akemi Furuie Hayashi","Hayashi, M.A. F.","2","",,1,,
"Giselle Zenker Justo","Justo, G. Z.","3","",,1,,
"Cátia Cristina Capêlo Ornelas Megiatto","MEGIATTO, C. C. C. O.M","4","",,1,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","5","",,2,,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","1","3667941735597178",,2,,
"Maysa Furlan","Furlan, M.","2","",,2,,
"João Batista Fernandes","Fernandes, J. B.","3","",,2,,
"Thiago André Moura Veiga","Veiga, T. A. M","4","",,2,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","5","",,3,,
"Shaker Chuck Farah","Farah, S. C.","1","",,3,,
"Leandro Ramos Souza Barbosa","BARBOSA, L. R. S.","2","",,3,,
"Fabio Cesar Gozzo","GOZZO, F. C.","3","",,3,,
"Carlos Henrique Inácio Ramos","RAMOS, C. H. I.","4","",,3,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","3","",,4,,
"Sonia Cristina Juliano Gualtieri","GUALTIERI, S. C. J.","1","",,4,,
"Maristela Imatomi","IMATOMI, M.","2","",,4,,
"Mariângela Tambelini","TAMBELINI, M.","4","",,4,,
"Paula Novaes","NOVAES, P.","5","",,4,,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","5","",,5,,
"Angela Regina Araujo","ARAUJO, A. R.","1","",,5,,
"Lourdes campaner dos santos","SANTOS, L. C.","2","",,5,,
"Dulce Helena Siqueira Silva","SILVA, D. H. S.","3","",,5,,
"Niege A J Cardoso furtado","FURTADO, N. A. J. C.","4","",,5,,
"Taícia Pacheco Fill","FILL, TAICIA","3","",,,0,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","1","3667941735597178",,,0,
"Venâncio, Tiago","Venâncio, Tiago","2","",,,0,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","2","",,,1,
"Edson Rodrigues Filho","RODRIGUES FILHO, Edson","1","3667941735597178",,,1,
"Dulce Helena Ferreira de Souza","SOUZA, D. H. F.","3","",,,1,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","3","",,,2,
"Anita Jocelyne Marsaioli","Marsaioli, A. J.","1","",,,2,
"Paulo José Samanho Moran","MORAN, P. J. S.","2","",,,2,
"Taícia Pacheco Fill","Fill, Taicia Pacheco","2","",,,3,
"Ljubica Tasic","Tasic, L.","1","",,,3,
"Taícia Pacheco Fill","FILL, TAICIA P","2","",,,4,
"Ljubica Tasic","Tasic, L.","1","",,,4,
"Wanda Pereira Almeida","Almeida, W. P.","3","",,,4,
"Taícia Pacheco Fill","FILL, Taícia Pacheco","1","",,,,0
"Rodrigues-Fo, Edson","Rodrigues-Fo, Edson","2","3667941735597178",,,,0
