NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-ENCONTRO_Id
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",0,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",1,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",2,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",3,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",4,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",5,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",6,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",7,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",8,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",9,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",10,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",11,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",12,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",13,,
"Taícia Pacheco Fill","FILL, Taícia Pacheco;Fill, Taicia Pacheco;FILL, TAICIA;FILL, TAICIA P;Fil, Taícia Pacheco;FILL, TAICIA P.;FILL, T. P.;FILL, TAÍCIA","1","0741638379707154",14,,
