AREAS-DO-CONHECIMENTO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id
0,0,,,,,,,,
1,2,,,,,,,,
2,,19,,,,,,,
3,,21,,,,,,,
4,,22,,,,,,,
5,,26,,,,,,,
6,,27,,,,,,,
7,,28,,,,,,,
8,,30,,,,,,,
9,,,4,,,,,,
10,,,5,,,,,,
11,,,6,,,,,,
12,,,12,,,,,,
13,,,,10,,,,,
14,,,,26,,,,,
15,,,,,0,,,,
16,,,,,,0,,,
17,,,,,,,60,,
18,,,,,,,61,,
19,,,,,,,62,,
20,,,,,,,63,,
21,,,,,,,,8,
22,,,,,,,,,14
