NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",0,,,,,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",0,,,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",1,,,,,,,,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","4989183279921217",1,,,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",2,,,,,,,,,,
"Roberto Alexandre Z. Borghi","BORGHI, R. A. Z.","2","0218092571931491",2,,,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,0,,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,1,,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,2,,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,3,,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,4,,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,5,,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,6,,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,7,,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,8,,,,,,,,,
