NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"SEMINARIO","Os Participantes nos Mercados de Derivativos Financeiros: Hedge e Especulação","1999","Brasil","Português","NAO","","","NAO",0
"SEMINARIO","As repercussões dos Mercados de Derivativos Financeiros","1999","Brasil","Português","NAO","","","NAO",1
"SEMINARIO","As repercussões dos Mercados de Derivativos Financeiros","1999","Brasil","Português","NAO","","","NAO",2
"SEMINARIO","Inserção externa da economia brasileira","2001","Brasil","Português","NAO","","","NAO",3
"SEMINARIO","A crise americana e a conjuntura internacional","2002","Brasil","Português","NAO","","","NAO",4
"SEMINARIO","O crash de 2002: da exuberância irracional à ganância infecciosa","2002","Brasil","Português","NAO","","","NAO",5
"CONGRESSO","XIII Congresso Interno de Iniciação Científica da Unicamp","2005","Brasil","Português","NAO","","","NAO",6
"SEMINARIO","O Regime de Metas de Inflação","2005","Brasil","Português","NAO","","","NAO",7
"SEMINARIO","Economias Emergentes e Ciclos Internacionais de Liquidez","2004","Brasil","Português","NAO","","","NAO",8
"CONGRESSO","Internacionalização financeira e ditadura dos mercados","2005","Brasil","Português","NAO","","","NAO",9
"CONGRESSO","Liberalização, Estabilidade e Crescimento: O acompanhamento da Economia e da Política Econômica no Brasil. Moeda e Finanças Privadas","2006","Brasil","Português","NAO","","","NAO",10
"CONGRESSO","A Nova Rodada de Abertura Financeira do Brasil no período Pós Ano 2000","2006","Brasil","Português","NAO","","","NAO",11
"CONGRESSO","(Des) Controle de Capitais no Brasil - Processo de Liberalização Financeira","2006","Brasil","Português","NAO","","","NAO",12
"CONGRESSO","The financial crisis and the global shadow banking system","2009","Brasil","Inglês","NAO","","","NAO",13
"OUTRA","Economias Emergentes e Ciclos de Liquidez","2005","Brasil","Português","NAO","","","NAO",14
"OUTRA","Internacionalização Bancária e derivativos financeiros no Brasil","2005","Brasil","Português","NAO","","","NAO",15
"OUTRA","Metas de inflação ou o medo de crescer","2005","Brasil","Português","NAO","","","NAO",16
"OUTRA","Os impactos macroeconômicos dos derivativos financeiros","1999","Brasil","Português","NAO","","","NAO",17
"OUTRA","Operações com derivativos financeiros das corporações de economias emergentes no ciclo recente","2009","Brasil","Português","NAO","","","NAO",18
"OUTRA","Determinantes da crise financeira: agentes, mercados e instrumentos","2009","Brasil","Português","NAO","","","NAO",19
"OUTRA","Crise Financeira e reformas da supervisão e regulação","2010","Brasil","Português","NAO","","","NAO",20
"OUTRA","O sétimo estágio de desenvolvimento do sistema bancário","2011","Brasil","Português","NAO","","","NAO",21
"OUTRA","Políticas Macroeconômicas Pós-Crise, Mainstream e a Inserção do Pensamento Novo Keynesiano","2011","Brasil","Português","NAO","","","NAO",22
"SEMINARIO","A singularidade da crise financeira mundial","2011","Brasil","Português","NAO","","","NAO",23
"CONFERENCIA","Macroeconomic policies in the aftermath of the crisis","2011","Brasil","Português","NAO","","","NAO",24
"COMUNICACAO","A crise e o Global Shadow Banking System","2009","Brasil","Português","NAO","","","NAO",25
"CONFERENCIA","The seventh stage of the evolution of the banking system and the banking system","2011","Brasil","Português","NAO","","","NAO",26
"CONGRESSO","The global financial crisis and the seventh stage of the evolution of the banking system","2012","Brasil","Inglês","NAO","","","NAO",27
"CONFERENCIA","Zona do Euro: diagnósticos e perspectivas","2013","Brasil","Português","NAO","","","NAO",28
"OUTRA","Revelations from the crisis: treasury and central bank's relation in a fiat money system","2013","Brasil","Português","NAO","","","NAO",29
"CONGRESSO","Treasury and central bank´s relations in a fiat money system","2014","Brasil","Português","SIM","","","NAO",30
"SEMINARIO","From the IMF to the Troika: new analytical framework, same prescriptions","2015","França","Inglês","NAO","","","NAO",31
"SEMINARIO","O acesso às informações: classificação de riscos, auditorias e contabilidade","2002","Brasil","Português","NAO","","","NAO",32
