NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de doutorado","Regimes cambiais em países emergentes","2010","Brasil","Português","","","",0
"Exame de qualificação de doutorado","Financiamento de Empresas não Financeiras: Proposição de uma abordagem quantílica","2009","Brasil","Português","","","",1
"Exame de qualificação de mestrado","O FED antes da crise: análise das atas do FOMC e de falas de Greenspan e Bernanke","2011","Brasil","Português","","","",2
"Exame de qualificação de doutorado","Taxa de câmbio no Brasil: dinâmicas da especulação e da arbitragem","2011","Brasil","Português","","","",3
"Exame de qualificação de mestrado","Serviços de infraestrutura como opção de investimentos para os fundos de pensão brasileiros","2012","Brasil","Português","","","",4
"Exame de qualificação de doutorado","Dependência econômica dos países periféricos sob a hegemonia do capital financeiro","2012","Brasil","Português","","","",5
"Exame de qualificação de mestrado","A Crise Financeira de 2008: uma interpretação teórica Pós-Keynesiana","2012","Brasil","Português","","","",6
"Exame de qualificação de doutorado","A Sustentabilidade Ambiental no Setor Bancário: da autorregulação à regulação","2013","Brasil","Português","","","",7
"Exame de qualificação de mestrado","A mudança da política macroeconômica no Brasil após a crise: uma visão dentro do conceito de assimetria monetária e financeira","2013","Brasil","Português","","","",8
"Exame de qualificação de mestrado","A hipótese da instabilidade financeira de MInsky e a crise japonesa dos Anos 1990","2013","Brasil","Português","","","",9
"Exame de qualificação de doutorado","Crises cambiais recentes no Brasil e na Argentina","2005","Brasil","Português","","","",10
