NATUREZA,TITULO-DO-TEXTO,ANO-DO-TEXTO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TEXTO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TEXTO-EM-JORNAL-OU-REVISTA_Id
"JORNAL_DE_NOTICIAS","O Crash das Bolsas Norte-Americanas","2002","Brasil","Português","IMPRESSO","http://www.valoronline.com.br","NAO","","","NAO",0
"JORNAL_DE_NOTICIAS","A restrição de Crédito e os Bancos Internacionais","2003","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"JORNAL_DE_NOTICIAS","Risco foi distribuído, mas favoreceu-se a especulação.
Alavancagem e derivativos nos grandes bancos dos EUA","2004","Brasil","Português","IMPRESSO","","NAO","","","NAO",2
"REVISTA_MAGAZINE","Metas infrutíferas","2004","Brasil","Português","IMPRESSO","","NAO","","","NAO",3
"JORNAL_DE_NOTICIAS","Réquiem para o shadow banking system","2008","Brasil","Português","IMPRESSO","","NAO","","","NAO",4
"JORNAL_DE_NOTICIAS","Alavancagem e concentração dos derivativos nos grandes bancos americanos","2004","Brasil","Português","IMPRESSO","","NAO","","","NAO",5
"JORNAL_DE_NOTICIAS","Mercados Financeiros sob Suspeita.","2002","Brasil","Português","IMPRESSO","","NAO","","","NAO",6
"REVISTA_MAGAZINE","Crisis financiera internacional: contagio y respuestas regulatorias","2009","Brasil","Espanhol","MEIO_DIGITAL","http://www.nuso.org/upload/articulos/3655_1.pdf","NAO","","","NAO",7
"JORNAL_DE_NOTICIAS","Salvaguardas contra a apreciação cambial","2010","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",8
"JORNAL_DE_NOTICIAS","Instituições que levaram à crise estão vivas","2012","Brasil","Português","IMPRESSO","","NAO","","","NAO",9
"JORNAL_DE_NOTICIAS","Para onde caminha nossa economia?","2013","Brasil","Português","IMPRESSO","","NAO","","","NAO",10
"REVISTA_MAGAZINE","As operações de swap do BC do Brasil e a institucionalidade do mercado de câmbio","2014","Brasil","Português","MEIO_DIGITAL","http://www.cartamaior.com.br/?/Editoria/Economia/As-operacoes-de-swap-do-BC-do-Brasil-e-a-institucionalidade-do-mercado-de-cambio-/7/31821","NAO","","","NAO",11
"REVISTA_MAGAZINE","Política Fiscal, monetária e cambial, entre o discurso e a realidade","2015","Brasil","Português","IMPRESSO","","NAO","","","NAO",12
"JORNAL_DE_NOTICIAS","O aprofundamento do colapso econômico","2011","Brasil","Português","IMPRESSO","","NAO","","","NAO",13
