EDITORA,CIDADE-DA-EDITORA,NUMERO-DE-PAGINAS,ISSN-ISBN,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Instituto de Economia da Unicamp","Campinas - SP","58","01039466",0
"Instituto de Economia da UNICAMP","Campinas - SP","","",1
"Instituto de Economia da UNICAMP","Campinas - SP","","",2
"Instituto de Economia da unicamp","Campinas","7","16795938",3
"Instituto de Economia da Unicamp","Campinas","7","16795938",4
"Instituto de Economia da Unicamp","Campinas","4","16795938",5
"Instituto de Economia da Unicamp","Campinas","4","16795938",6
"Instituto de Economia da Unicamp","Campinas","3","16795938",7
"Editora Unicamp","Campinas - SP","26","01039466",8
"Editora Unicamp","Campinas - SP","63","01039466",9
"","Campinas","25","ISSN 0103946",10
"IEDI - Instituto de Estudos para o Desenvolvimento Industrial","São Paulo","","",11
"IEDI - Instituto de Estudos para o Desenvolvimento Industrial","São paulo","","",12
"IEDI - Instituto de Estudos para o Desenvolvimento Industrial","São Paulo","","",13
"","Porto Alegre - RS","","",14
"","Porto Alegre - RS","","",15
"IPEA","Brasília - DF","40","14154765",16
"FUNDAP","São Paulo","","",17
"FUNDAP","São Paulo","","",18
"","","","",19
"Instituto de Economia","Campinas","","16795938",20
"Instituto de Economia","Campinas","","16795938",21
"Instituto de Economia","Campinas","","16795938",22
"Instituto de Economia","Campinas","","16795938",23
"Instituto de Economia","Campinas","","16795938",24
"Instituto de Economia","Campinas","","16795938",25
"","","","",26
"Instituto de Economia da UNICAMP","Campinas - SP","","",27
