FINALIDADE,DURACAO-EM-MESES,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,CIDADE-DO-TRABALHO,FINALIDADE-INGLES,TRABALHO-TECNICO_Id
"Parecer sobre um paper enviada a revista para apreciação","0","0","RESTRITA","Instituto de Economia da Unicamp","Campinas","",0
"Parecer sobre um paper enviada a revista para apreciação","0","0","RESTRITA","Instituto de Economia da Unicamp","Campinas","",1
"Parecer","2","","IRRESTRITA","","Rio de Janeiro","",2
"","","","NAO_INFORMADO","","","",3
"","","","NAO_INFORMADO","","","",4
"","","","NAO_INFORMADO","","","",5
"","","","NAO_INFORMADO","","","",6
"","","","NAO_INFORMADO","","","",7
"","","","NAO_INFORMADO","","","",8
"","","","NAO_INFORMADO","","","",9
"","","","NAO_INFORMADO","","","",10
"Parecer sobre um paper enviada a revista para apreciação","","","RESTRITA","","Campinas","",11
"Parecer sobre um paper enviada a revista para apreciação","","","RESTRITA","","Campinas","",12
"Parecer sobre um paper enviada a revista para apreciação","","","RESTRITA","","","",13
"Parecer sobre um paper enviada a revista para apreciação","","","RESTRITA","","Campinas","",14
"Parecer sobre um paper enviada a revista para apreciação","","","NAO_INFORMADO","","","",15
"Parecer sobre um paper enviada a revista para apreciação","","","RESTRITA","","","",16
