DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Proejto de Pesquisa: O Brasil na era da globalização: condicionantes domésticos e internacionais ao desenvolvimento
Sub. projeto IV - Efetividade e dilemas do regime de metas de inflação.","",1,,
"Projeto de Pesquisa: O Brasil e a periferia na era da globalização: inconversibilidade monetária, atraso produtivo, regimes de políticas econômicas e desenvolvimento.
Sub. projeto IV","",2,,
"Proejto de Pesquisa: O Brasil na era da globalização: condicionantes domésticos e internacionais ao desenvolvimento
Sub. projeto IV - Efetividade e dilemas do regime de metas de inflação.","",27,,
"Exame de Qualificação de Mestrado","",,4,
"Exame de Qualificação de Mestrado","",,5,
"Exame de Qualificação","",,9,
"Exame de Qualificação","",,10,
"Exame de Qualificação","",,11,
"Exame de Qualificação","",,12,
"Exame de Qualificação","",,,2
