PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,APRESENTACAO-DE-TRABALHO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id
"crise financeira","sistema financeiro","derivativos financeiros","","","",0,,,,,,,,,,
"crise financeira","derivativos financeiros","","","","",2,,,,,,,,,,
"sistema financeiro","crise financeira","derivativos financeiros","","","",,19,,,,,,,,,
"sistema financeiro","crise financeira","derivativos financeiros","","","",,21,,,,,,,,,
"crise financeira","derivativos financeiros","sistema financeiro","","","",,22,,,,,,,,,
"Política Monetária","Liquidez Internacional","Moeda fiduciária","","","",,26,,,,,,,,,
"Política Econômica","","","","","",,27,,,,,,,,,
"globalização","derivativos","","","","",,28,,,,,,,,,
"New keynesians","Macroeconomic theory","Mainstream","Macroeconomic policy","New Consensus Macroeconomics","",,29,,,,,,,,,
"Novos keynesianos","Teoria Macroeconômica","","","","",,30,,,,,,,,,
"Crise Econômica","Brasil - Política Econômica","Liquidez Internacional","Fluxo de Capitais","Finanças Internacionais","Câmbio",,,5,,,,,,,,
"crise financeira","derivativos financeiros","sistema financeiro","","","",,,,4,,,,,,,
"sistema financeiro","concentração bancária","","","","",,,,5,,,,,,,
"derivativos financeiros","sistema financeiro","","","","",,,,6,,,,,,,
"crise financeira","bancos","innovaciones financieras","Brasil","mercados de derivados extrabursátiles (mostrador)","derivados cambiarios",,,,7,,,,,,,
"Brasil - Política Econômica","ajuste fiscal","","","","",,,,12,,,,,,,
"crise financeira","taxa de câmbio","economias emergentes","","","",,,,,10,,,,,,
"foreign exchange derivatives","banking competition","financial fragility","","","",,,,,26,,,,,,
"sovereign crisis,","macroeconomic policies,","fiscal multiplier","capital controls","","",,,,,,31,,,,,
"Economia keynesiana","Alocação de ativos","Instituições Financeiras","","","",,,,,,,0,,,,
"Maryse Farhi","","","","","",,,,,,,,20,,,
"Maryse Farhi","","","","","",,,,,,,,21,,,
"seguradoras internacionais","crise financeira","","","","",,,,,,,,60,,,
"Sistema bancário","crise financeira","","","","",,,,,,,,62,,,
"Keynesianismo","Política Econômica","Zona do Euro","","","",,,,,,,,63,,,
"Deflação","","","","","",,,,,,,,64,,,
"crise financeira","derivativos financeiros","mercados de derivados extrabursátiles (mostrador)","sistema financeiro","","",,,,,,,,,8,,
"Brazil's Central BAnk","Environment - Regulation","","","","",,,,,,,,,,3,
"liberalização, autonomia monetária, emergentes","","","","","",,,,,,,,,,,14
"Banco Central","Política Monetária","Independência do Banco Central","","","",,,,,,,,,,,15
