NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",0,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",1,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",2,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",3,,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","4989183279921217",4,,,,
"André Moreira Cunha","André Moreira Cunha","3","",4,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",4,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",5,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",6,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",7,,,,
"José César Cruz Júnior","CRUZ JUNIOR, J. C.","2","",8,,,,
"antonio carlos diegues jr.","Diegues jr, Antonio Carlos","3","",8,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",8,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",9,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",10,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",11,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",12,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",13,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,0,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,1,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,2,,,
"Bastiaan Philip Reydon","REYDON; B. F.","1","",,3,,,
"Ademar Ribeiro Romeiro","ROMEIRO, A. R.","3","",,3,,,
"Celso Funcia Lemme","LEMME, C. F.","4","",,3,,,
"Mario Prestes Monzoni Neto","MONZONI NETO, M. P.","5","",,3,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","2","4629153708503919",,3,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,4,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,0,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,1,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,2,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,3,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,4,,
