APRESENTACAO-DE-TRABALHO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"51",0
1,"52",0
2,"53",0
3,"54",0
4,"55",0
5,"56",0
6,"57",0
7,"58",0
8,"59",0
9,"61",0
10,"62",0
11,"63",0
12,"64",0
13,"65",0
14,"66",0
15,"67",0
16,"68",0
17,"69",0
18,"222",0
19,"223",0
20,"246",0
21,"259",0
22,"262",0
23,"278",0
24,"435",0
25,"436",0
26,"443",0
27,"448",0
28,"469",0
29,"470",0
30,"471",0
31,"501",0
32,"502",0
33,"544",0
34,"618",0
35,"635",0
36,"636",0
37,"637",0
38,"692",0
39,"698",0
40,"699",0
41,"700",0
42,"701",0
43,"702",0
44,"703",0
45,"704",0
46,"705",0
47,"706",0
48,"707",0
49,"708",0
50,"750",0
51,"751",0
52,"832",0
53,"835",0
54,"871",0
55,"277",0
