NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Concurso público","Concurso Público para provimento da funçãode Professor Assistente (MA)","2002","Brasil","Português","","","",0
"Concurso público","Concurso público para provimento de uma função de professor assistente, categoria MA-I Nível A em RTP Careira Magistério Artístico","2002","Brasil","Português","","","",1
"Concurso público","Concurso Público de Provas e Titulos para provimento de cargo de Professor Doutor","2004","Brasil","Português","","","",2
"Concurso público","Concurso para Docente na UNICAMP, no nível MS-3, regime RTP","2004","Brasil","Português","","","",3
"Concurso público","Concurso para provimento de um cargo de Professor Doutor, junto ao Departamento de Música","2005","Brasil","Português","","","",4
"Concurso público","Concurso para provimento de um cargo de Professor Doutor, junto ao Departamento de Música","2008","Brasil","Português","","","",5
"Concurso público","Concurso para provimento efetivo de cargo de Professor Doutor","2010","Brasil","Português","","","",6
"Concurso público","Concurso Público para provimento de Professor de ensino Superior","2010","Brasil","Português","","","",7
"Concurso público","Concurso Público para provimento no cargo de Professor de Ensino Superior","2011","Brasil","Português","","","",8
"Concurso público","Concurso Público para cargo de Professor Assistente Doutor","2009","Brasil","Português","","","",9
"Concurso público","21º Concurso de Piano "Prof. Abrão Calil Neto"","2014","Brasil","Português","","","",10
