NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE,FLAG-RELEVANCIA,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,MUSICA_Id
"APRESENTACAO_DE_OBRA","Infobodies","2002","Brasil","Português","MEIO_DIGITAL","","NAO","","NAO",0
"APRESENTACAO_DE_OBRA","PAR LUI 2","2002","Brasil","Português","MEIO_DIGITAL","","SIM","","NAO",1
"APRESENTACAO_DE_OBRA","Duas peças para coro: I - A desolação é calma como o nada II - Canto Esponjoso","2004","Brasil","Português","OUTRO","","NAO","","NAO",2
"APRESENTACAO_DE_OBRA","Apresentação de Quarteto de Cordas","2004","Brasil","Português","IMPRESSO","","NAO","","NAO",3
"APRESENTACAO_DE_OBRA","Apresentação de Par Lui 2","2004","Brasil","Português","MEIO_DIGITAL","","NAO","","NAO",4
"APRESENTACAO_DE_OBRA","Em Algum Lugar","2004","Brasil","","OUTRO","","NAO","","NAO",5
"APRESENTACAO_DE_OBRA","Trem-pássaro","2003","Brasil","","MEIO_DIGITAL","","NAO","","NAO",6
"APRESENTACAO_DE_OBRA","Vozes da Cidade","2003","Brasil","","MEIO_DIGITAL","","NAO","","NAO",7
"APRESENTACAO_DE_OBRA","Par Lui 2","2003","Brasil","","MEIO_DIGITAL","","NAO","","NAO",8
"APRESENTACAO_DE_OBRA","Infobodies","2003","Alemanha","","MEIO_DIGITAL","","NAO","","NAO",9
"APRESENTACAO_DE_OBRA","Um dia feito d'água","2003","Alemanha","","MEIO_DIGITAL","","NAO","","NAO",10
"APRESENTACAO_DE_OBRA","Vozes da Cidade","2003","Alemanha","Português","MEIO_DIGITAL","","NAO","","NAO",11
"APRESENTACAO_DE_OBRA","Par Lui 2","2003","Alemanha","","MEIO_DIGITAL","","NAO","","NAO",12
"APRESENTACAO_DE_OBRA","Trem-pássaro","2003","Alemanha","","MEIO_DIGITAL","","NAO","","NAO",13
"APRESENTACAO_DE_OBRA","Concert National Brésil - apresentação de Par Lui 2","2003","França","","MEIO_DIGITAL","","NAO","","NAO",14
"APRESENTACAO_DE_OBRA","PAR LUI 2","2002","Brasil","Português","MEIO_DIGITAL","","NAO","","NAO",15
"APRESENTACAO_DE_OBRA","Apresentação da obra Infobodies no concerto do SEMEA - I Seminário de Engenharia de audio","2002","Brasil","","MEIO_DIGITAL","","NAO","","NAO",16
"COMPOSICAO","Estréia mundial de Dos Salmos - Coro Ars Antiqua, regencia de Stephan Claas.","2002","Alemanha","Português","OUTRO","","SIM","","NAO",17
"APRESENTACAO_DE_OBRA","Par Lui 2","2001","Brasil","","MEIO_DIGITAL","","NAO","","NAO",18
"COMPOSICAO","Par Lui 2","2001","Bélgica","Português","MEIO_DIGITAL","","NAO","","NAO",19
