NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-SEMINARIO_Id
"Seminário","Experimentos Com Materiais Sonoros","1993","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",0
"Seminário","Introdução à Pedra de Rodolfo Caesar: Leituras de uma obra","2008","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",1
"Seminário","V Seminário de Pós-Graduação em Música: Avaliação e Planejamento","2004","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",2
"Seminário","Participação","2001","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",3
"Seminário","Relatos do Processo de Trabalho de Criação","2007","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",4
"Seminário","III Seminário Pós-Graduação em Música: Avaliação e Planejamento","2002","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",5
"Seminário","Seminário - Modelos Perceptivos na Música Eletroacústica","2002","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",6
"Seminário","IV Seminário de Pós-Graduação em Música: avaliação e planejamento","2003","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",7
"Seminário","Produção e renovação da mídia e do suporte das obras musicais de pioneiros no uso da tecnologia: caso Gilberto Mendes","2006","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",8
"Seminário","II Seminário de Pós-Graduação em Música: Avaliação e Planejamento","2001","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",9
"Seminário","SEMEA Seminário de Engenharia de Audio","2002","Brasil","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",10
