NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,TITULO-INGLES,MEIO-DE-DIVULGACAO,HOME-PAGE,FLAG-DIVULGACAO-CIENTIFICA,ARTES-CENICAS_Id
"COREOGRAFICA","Impressões Brasileiras","1987","Brasil","Português","NAO","","IMPRESSO","","NAO",0
"COREOGRAFICA","Labitintus","1990","Brasil","Português","NAO","","IMPRESSO","","NAO",1
"COREOGRAFICA","Essas Mulheres / Dorme, dorme Frankstein","1990","Brasil","Português","NAO","","IMPRESSO","","NAO",2
"COREOGRAFICA","Totem, Cia de Dança","1992","Brasil","Português","NAO","","IMPRESSO","","NAO",3
"COREOGRAFICA","Interiores","1994","Brasil","Português","NAO","","IMPRESSO","","NAO",4
"COREOGRAFICA","Diante dos Olhos","1996","Brasil","Português","NAO","","IMPRESSO","","NAO",5
"COREOGRAFICA","Em verso, Em obra","1999","Brasil","Português","NAO","","IMPRESSO","","NAO",6
"TEATRAL","Le Corps Mouvant","1986","Brasil","Português","NAO","","IMPRESSO","","NAO",7
"TEATRAL","O Guarani","1986","Brasil","Português","NAO","","IMPRESSO","","NAO",8
"TEATRAL","Duo para Piano e Mímica","1988","Brasil","Português","NAO","","IMPRESSO","","NAO",9
"TEATRAL","Homenagem a Grotowiski","1988","Peru","Português","NAO","","IMPRESSO","","NAO",10
"TEATRAL","A Casa de Bernarda Alba","1991","Alemanha","Alemão","NAO","","IMPRESSO","","NAO",11
"OUTRA","Concertato: concerto-espetáculo da Orquestra Sinfônica e performance cênica de clowns","2011","Brasil","Português","NAO","","VARIOS","","NAO",12
"TEATRAL","Pax et Mullier","1984","Brasil","Português","NAO","","IMPRESSO","","NAO",13
