CODIGO-INSTITUICAO,NOME-INSTITUICAO,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"007900000004","Universidade Estadual de Campinas",0
"007900000004","Universidade Estadual de Campinas",1
"007900000004","Universidade Estadual de Campinas",2
"007900000004","Universidade Estadual de Campinas",3
"006700000002","Universidade de São Paulo",4
"006700000002","Universidade de São Paulo",5
"006700000002","Universidade de São Paulo",6
"008000000006","Universidade Estadual de Londrina",7
"008000000006","Universidade Estadual de Londrina",8
"033000000007","Universidade Estadual Paulista Júlio de Mesquita Filho",9
"000100000991","Conservatório Estadual de Música Dr. José Zóccoli de Andrade",10
