TIPO-DE-EVENTO,ATIVIDADE-DOS-AUTORES,FORMACAO-INSTRUMENTAL,FLAG-INEDITISMO-DA-OBRA,DATA-ESTREIA,DATA-ENCERRAMENTO,LOCAL-DE-ESTREIA,PREMIACAO,INSTITUICAO-PROMOTORA-DO-PREMIO,OBRA-DE-REFERENCIA,AUTOR-DA-OBRA-DE-REFERENCIA,ANO-DA-OBRA-DE-REFERENCIA,DURACAO,TEMPORADA,INSTITUICAO-PROMOTORA-DO-EVENTO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,MUSICA_Id
"CONCERTO","Criação","","","","","","","","","Denise Hortência Lopes Garcia","1999","11","","Universidade Federal de Minas gerais","Escola de Música da UFMG","Belo Horizonte",0
"CONCERTO","Criação","","S","","","","","","","","","0","","Escola de Comunicações e Artes/ Universidade de São Paulo","Auditório Maestro Olivier Toni/ Departamento de Música","",1
"OUTRO","Compositor","Coro a capella","","","","","","","","","2004","7","","Universidade de São Paulo","Theatro Pedro II","Ribeirão Preto",2
"FESTIVAL","Compositor","Quarteto de cordas","","","","","","","Quarteto de Cordas","Denise Garcia","1980","8","","Prefeitura de Santos/ Centro Maria Antônia da USP","Teatro Municipal Bras Cubas","Santos",3
"FESTIVAL","Compositor","Eletroacústica","","","","","","","","","2004","12","","Sesc Ipiranga e Sesc Vila Mariana","Sesc Ipiranga","São Paulo",4
"FESTIVAL","Criação","","N","","","","","","Em Algum Lugar","Denise Garcia","2002","5","","Prefeitura de Poços de Caldas","Espaço Cultural da Urca, Palace Cassino","Poços de Caldas",5
"CONCERTO","Criação","","N","","","","","","Trem-pássaro","Denise Garcia","1993","10","","","Auditório do TUCA","São Paulo",6
"CONCERTO","Criação","","N","","","","","","Vozes da Cidade","Denise Garcia","1993","12","","","Auditório do TUCA","São Paulo",7
"FESTIVAL","Criação","","N","","","","","","Par Lui 2","Denise Garcia","2001","12","","FUNARTE","Sala Baden Powell","Rio de Janeiro",8
"OUTRO","Criação","","N","","","","","","Infobodies","Denise Garcia","1999","10","","DeutschlandRadio Berlin","DeutschlandRadio Berlin","Berlin",9
"OUTRO","Criação","","N","","","","","","Um dia feito d'água","Denise Garcia","1993","18","","DeutschlandRadio Berlin","DeutschlandRadio Berlin","Berlin",10
"OUTRO","Compositor","Eletroacústica","","","","","","","Vozes da Cidade","Denise Garcia","1993","10","","DeutschlandRadio Berlin","DeutschlandRadio Berlin","Berlin",11
"OUTRO","Criação","","N","","","","","","Par Lui 2","Denise Garcia","2001","12","","DeutschlandRadio Berlin","DeutschlandRadio Berlin","Berlin",12
"OUTRO","Criação","","N","","","","","","Trem-pássaro","Denise Garcia","1993","10","","DeutschlandRadio Berlin","DeutschlandRadio Berlin","Berlin",13
"FESTIVAL","Criação","","N","","","","","","Par Lui 2","Denise Garcia","2001","12","","IMEB - Institut de Musique Electroacoustique de Bourges","Maison de la Culture","Bourges",14
"CONCERTO","Compositor","Eletroacústica","","","","","","","PAR LUI 2","Denise Garcia","2001","12","","Universidade de São Paulo","Escola de Comunicação e Artes USP","São Paulo",15
"OUTRO","Criação","","N","","","","","","Infobodies","Denise Hortência Lopes Garcia","1999","11","","UFMG e Departamento de Engenharia de Audio","Cidade Universitária","Belo Horizonte",16
"CONCERTO","Compositor","Coro a capella","S","01061999","","Asheffenburg - Alemanha","","","","Denise Hortência Lopes Gracia","1999","7","","Coro de Câmara Ars Antiqua","Igreja Muttergottespfarrkirche","Aschaffenburg",17
"FESTIVAL","Criação","","N","","","","","","Par Lui 2","Denise Hortencia Lopes Garcia","2001","11","","Goethe Institut","Instituto Cultural Brasil-Alemanha","Salvador",18
"FESTIVAL","Compositor","Eletroacústica","S","07062001","","Theatre Marni","","","Par Lui 2","Denise Hortencia Lopes Garcia","2001","11","","Musiques & Recherches","Theatre Marni","Bruxelas",19
"FESTIVAL","Criação","","N","","","","","","Infobodies","Denise Hortencia Lopes Garcia","1999","10","","Musiques & Recherches","Theatre Marni","Bruxelas",20
"FESTIVAL","Criação","","N","","","","","","Trem-pássaro","Denise Hortência Lopes Garcia","1993","8","","Musiques & Recherches","Theatre Marni","Bruxelas",21
"FESTIVAL","Criação","","N","","","","","","Um dia feito d'água","Denise Hortencia Lopes Garcia","1993","18","","Musiques & Recherches","Theatre Marni","Bruxelas",22
"FESTIVAL","Criação","","N","","","","","","Vozes da Cidade","Denise Hortencia Lopes Garcia","1993","10","","Musiques & Recherches","Theatre Marni","Bruxelas",23
"FESTIVAL","Compositor","quatro vozes femoninas e narração","S","14092001","","Sala Cecília Meireles","","FUNARTE","Bizuza","Denise Hortencia Lopes Garcia","1993","7","Bienal da Música Brasileira Contemporânea","Fundação Nacional da Arte - FUNARTE","Sala Cecília Meireles","Rio de Janeiro",24
"CONCERTO","Criação","","N","","","","","","","","2000","10","","Núcleo de Música Experimental e Intermídia do Rio de Janeiro","Espaço Sergio Porto","Rio de Janeiro",25
"FESTIVAL","Compositor","Eletroacústica","","","","","","","","","2000","18","","Haus der Kultur der Welt","Haus der Kultur der Welt","Berlim",26
"CONCERTO","Compositor","soprano e eletroacústica","","","","","","","","","2000","10","","Instituto Itaú Cultural São Paulo","São Paulo","São Paulo",27
"FESTIVAL","Criação","","N","","","","","","Par Lui","Denise Hortencia Lopes Garcia","1996","4","","Goethe Institut de Salvador","Instituto Cultural Brasil-Alemanha","Salvador",28
"OUTRO","Compositor","Eletroacústica","","","","","","","","","1999","5","","Associação Brasileira de Educação Musical","Canal da Música","Curitiba",29
"FESTIVAL","Compositor","Eletroacústica","","","","","","","Par Lui","Denise Hortência Lopes Garcia","1996","4","","Ex Teresa Arte Atual","Lic. Verdad 8, Centro Historico","Mexico, D.F.",30
