TIPO-DE-EVENTO,ATIVIDADE-DOS-AUTORES,DATA-ESTREIA,DATA-ENCERRAMENTO,LOCAL-DE-ESTREIA,PREMIACAO,INSTITUICAO-PROMOTORA-DO-PREMIO,OBRA-DE-REFERENCIA,AUTOR-DA-OBRA-DE-REFERENCIA,ANO-DA-OBRA-DE-REFERENCIA,DURACAO,TEMPORADA,INSTITUICAO-PROMOTORA-DO-EVENTO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,FLAG-ITINERANTE,ARTES-CENICAS_Id
"Temporada","Diretor Musical","","","","","","","","","60","","LUME - UNICAMP","Centro de Convivências - Campinas/ Centro Cultural São Paulo - São Paulo","São Paulo","",0
"Apresentação única","Diretor Musical","","","","","","","","","60","","I Festival Internacional de Teatro de Campinas","Campinas - SP","Campinas - SP","",1
"Apresentação única","Diretor Musical","","","","","","","","","60","","Universidade Estadual de Campinas","UNICAMP","Campinas - SP","",2
"Temporada","Diretor Musical","","","","","","","","","60","","Projeto Dança Nova","Teatro Brasileiro de Comédia","São Paulo - SP","",3
"Temporada","Diretor Musical","","","","","","","","","60","","UNICAMP","UNICAMP","Campinas - SP","",4
"Temporada","Diretor Musical","","","","","","","","","60","","UNICAMP","UNICAMP","Campinas - SP","",5
"Apresentação única","Diretor Musical","","","","","","","","","60","","Sesc Vila Mariana","Sesc Vila Mariana","São Paulo - SP","",6
"Apresentação única","Diretor Musical","","","SESC POMPÉIA - São Paulo","","","","","","60","","I Festival de Mímica de São Paulo","SESC POMPÉIA - São Paulo","São Paulo - SP","",7
"Temporada","Diretor Musical","","","","","","","","","60","","Grupo Quadricrômico e LUME","Teatro Ruth Escobar / Centro de Convivência de Campinas","São Paulo e Campinas - SP","",8
"Festival","Diretor Musical","","","","","","","","","60","","Centro de Ciências, Letras e Artes - Campinas","Patras International Festival","Grécia","",9
"Festival","Diretor Musical","","","","","","","","","60","","Reencuentro Ayacucho 88","Ruinas de Cajamarquilla","Lima - Peru","",10
"Festival","Diretor Musical","","","","","","","","","60","","Colóquio Internacional de Teatro "Women in Theather Group II"","Colóquio Internacional de Teatro "Women in Theather Group II"","Wuppertal, Alemanha","",11
"Apresentação única","Diretor","14102011","","Centro de Convivência Cultural Carlos gomes","","","","","","50","","CIDDIC/UNICAMP","Centro de Convivência Cultural Carlos Gomes","Campinas - SP","",12
"Temporada","Diretor Musical","","","","","","Pax et Mullier","Jean Pierre Kaletrianos","","60","","Grupo Teatral Tapandari","Teatro Studio São Pedro","São Paulo - SP","",13
