TITULO-DO-JORNAL-OU-REVISTA,ISSN,DATA-DE-PUBLICACAO,VOLUME,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,TEXTO-EM-JORNAL-OU-REVISTA_Id
"Jornal da Tarde","","","","","","São Paulo",0
"Jornal da Tarde","","","","","","São Paulo",1
"Jornal da Tarde","","13041977","","","","",2
"Jornal da Tarde","","18041977","","","","São Paulo",3
"Jornal da Tarde","","06071977","","","","São Paulo",4
"Jornal da Tarde","","09071977","","","","São Paulo",5
"Jornal da Tarde","","05071977","","","","São Paulo",6
"Jornal da Tarde","","04051977","","","","São Paulo",7
"Jornal da Tarde","","09051977","","","","São Paulo",8
"Jornal da Tarde","","14051977","","","","São Paulo",9
"Jornal da Tarde","","20051977","","","","São Paulo",10
"Jornal da Tarde","","19061978","","","","",11
"Jornal da Tarde","","01071977","","","","São Paulo",12
"Jornal da Tarde","","21071977","","","","São Paulo",13
"Jornal da Tarde","","06081977","","","","São Paulo",14
"Jornal da Tarde","","19081977","","","","São Paulo",15
"Jornal da Tarde","","01101977","","","","São Paulo",16
"Jornal da Tarde","","08101977","","","","São Paulo",17
"Jornal da Tarde","","07111977","","","","São Paulo",18
"Dois mestres do Barroco, para hoje.","","10081978","","","","São Paulo",19
"Jornal da Tarde","","12081977","","","","São Paulo",20
"Jornal da Tarde","","10081977","","","","São Paulo",21
"Jornal da Tarde","","10071978","","","","Jornal da Tarde",22
"Jornal da Tarde","","10111978","","","","São Paulo",23
"Jornal da Tarde","","20091978","","","","São Paulo",24
"Jornal da Tarde","","09121977","","","","São Paulo",25
"Jornal da Tarde","","14041978","","","","São Paulo",26
"Jornal da Tarde","","19071978","","","","São Paulo",27
"Jornal da Tarde","","05121978","","","","Jornal da Tarde",28
"Jornal da Tarde","","28061979","","","","São Paulo",29
"Jornal da Tarde","","22061978","","","","São Paulo",30
"Jornal da Tarde","","29071977","","","","São Paulo",31
"Jornal da Tarde","","10051978","","","","São Paulo",32
"Jornal da Tarde","","13031978","","","","São Paulo",33
"Jornal da Tarde","","","","","","São Paulo",34
"Jornal da Tarde","","10111977","","","","São Paulo",35
"Jornal da Tarde","","05051977","","","","São Paulo",36
"Jornal da Tarde","","05051978","","","","São Paulo",37
"Jornal da Tarde","","","","","","São Paulo",38
"Jornal da Tarde","","14041977","","","","São Paulo",39
"Jornal da Tarde","","20101977","","","","São Paulo",40
"Jornal da Tarde","","19051978","","","","São Paulo",41
"Jornal da Tarde","","24101977","","","","São Paulo",42
"Jornal da Tarde","","22051978","","","","São Paulo",43
"Jornal da Tarde","","16061979","","","","São Paulo",44
"Jornal da Tarde","","15101977","","","","São Paulo",45
"Jornal da Tarde","","17051977","","","","São Paulo",46
"Jornal da Tarde","","11071977","","","","São Paulo",47
"Jornal da Tarde","","02061977","","","","São Paulo",48
"Jornal da Tarde","","10091977","","","","São Paulo",49
"Jornal da Tarde","","","","","","São Paulo",50
"Jornal da Tarde","","18111977","","","","São Paulo",51
"Jornal da Tarde","","16111978","","","","São Paulo",52
"Jornal da Tarde","","20111978","","","","São Paulo",53
"Jornal da Tarde","","","","","","São Paulo",54
"Jornal da Tarde","","12051978","","","","São Paulo",55
"Jornal da Tarde","","14071978","","","","São Paulo",56
"Jornal da Tarde","","28081978","","","","São Paulo",57
"Jornal da Tarde","","10121977","","","","São Paulo",58
"Jornal da Tarde","","28011978","","","","São Paulo",59
"Jornal da Tarde","","27061979","","","","São Paulo",60
"Jornal da Tarde","","13071978","","","","São Paulo",61
"Jornal da Tarde","","28091978","","","","São Paulo",62
"Jornal da Tarde","","17101978","","","","São Paulo",63
"Jornal da Tarde","","05041977","","","","São Paulo",64
"Jornal da Tarde","","21031978","","","","São Paulo",65
"Jornal da Tarde","","07071978","","","","São Paulo",66
"Jornal da Tarde","","28041978","","","","São Paulo",67
"Jornal da Tarde","","19051977","","","","São Paulo",68
"Jornal da Tarde","","11071979","","","","Jornal da Tarde",69
"Jornal da Tarde","","03061978","","","","São Paulo",70
"Jornal da Tarde","","06031978","","","","São Paulo",71
"Jornal da Tarde","","27031978","","","","São Paulo",72
"Jornal da Tarde","","09121978","","","","São Paulo",73
"Jornal da Tarde","","08091977","","","","São Paulo",74
"Jornal da Tarde","","23081977","","","","São Paulo",75
"Jornal da Tarde","","12071978","","","","São Paulo",76
"Jornal da Tarde","","06071978","","","","São Paulo",77
"Jornal da Tarde","","30081978","","","","São Paulo",78
"Jornal da Tarde","","28091979","","","","São Paulo",79
"Jornal da Tarde","","09101978","","","","São Paulo",80
"Jornal da Tarde","","16031978","","","","São Paulo",81
"Jornal da Tarde","","02041977","","","","São Paulo",82
"Jornal da Tarde","","21081978","","","","São Paulo",83
"Jornal da Tarde","","31031978","","","","São Paulo",84
"Jornal da Tarde","","07041977","","","","São Paulo",85
"Jornal da Tarde","","26051978","","","","São Paulo",86
"Jornal da Tarde","","06051978","","","","São Paulo",87
"Jornal da Tarde","","08041978","","","","São Paulo",88
"Jornal da Tarde","","05051978","","","","São Paulo",89
"Jornal da Tarde","","22061977","","","","São Paulo",90
"Jornal da Tarde","","22071977","","","","São Paulo",91
"Jornal da Tarde","","07071979","","","","São Paulo",92
"Jornal da Tarde","","15071977","","","","São Paulo",93
"Jornal da Tarde","","21091977","","","","São Paulo",94
"Jornal da Tarde","","17071978","","","","São Paulo",95
"Jornal da Tarde","","10061977","","","","São Paulo",96
"Jornal da Tarde","","08061978","","","","São Paulo",97
"Jornal da Tarde","","04051978","","","","São Paulo",98
"Jornal da Tarde","","24011977","","","","São Paulo",99
"Jornal da Tarde","","05071978","","","","São Paulo",100
"Jornal da Tarde","","18051977","","","","São Paulo",101
"Jornal da Tarde","","22081977","","","","São Paulo",102
"Jornal da Tarde","","27081977","","","","São Paulo",103
"Jornal da Tarde","","03091977","","","","São Paulo",104
"Inacen - Boletim Informativo n 50","","","","","","",105
"Revista Conjunto Casa de las Americas - Teatro Latinoamericano. n 80","","","","","","",106
"Jornal da Tarde","","13071977","","","","São Paulo",107
