PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA_Id
"musica contemporanea","musica eletroacustica","composiçao musical","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Musica Contemporanea","musica eletroacustica","processos composicionais","","","",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"musica contemporanea","Gilberto Mendes","Grupo Música Nova","música eletroacústica brasileira","","",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
"música eletroacústica brasileira","musica brasileira contemporânea","musica eletroacustica","","","",,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
"música eletroacústica brasileira","musica brasileira contemporânea","musica eletroacustica","","","",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
"análise de música brasileira","Gilberto Mendes","música contemporânea brasileira","","","",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
"análise musical","partitura de escuta","sonologia","","","",,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
"música eletroacústica brasileira","musica brasileira contemporânea","análise musical","composiçao musical","","",,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estúdio da Glória","música eletroacústica brasileira","Rodolfo Caesar","","","",,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
"análise de música eletroacústica","","","","","",,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
"musica contemporanea","análise de música brasileira","musica brasileira contemporânea","Willy Corrêa de Oliveira","","",,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
"composiçao musical","Música para teatro","","","","",,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
"Música para teatro","composiçao musical","","","","",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
"musica eletroacustica","espaço multifônico","musica eletroacústica francesa","","","",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"análise de música brasileira","música eletroacústica brasileira","sonologia","","","",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
"composição musical para teatro","","","","","",,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
"musica eletroacustica","análise musical","composição","","","",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
"composiçao musical","musica brasileira contemporânea","","","","",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Acervo musical","Centro de Documentação de Música Contemporânea","CDMC/Brasil","","","",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Oratório","Beethoven","","","","",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","Obras vocais","","","","",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","quartetos","","","","",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","","","","","",,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
"Sonata para Piano, Op. 101","Beethoven","Claude Frank","","","",,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"Sonata op. 106","Beethoven","","","","",,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","Sonata","","","","",,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","Bartok","duos para violino e piano","","","",,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","Teatro São Pedro","Rondó em Si bemol maior","Vitória de Wellinghton, op. 91","","",,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","Teatro São Pedro","Grande Fuga","","","",,,,,,9,,,,,,,,,,,,,,,,,,,,,,,
"Chopin","Concerto nº 2","Rubinstein","","","",,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
"Brahms","Concerto","","","","",,,,,,11,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","Sinfonia n. 6","Concerto n. 3","","","",,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
"Chopin","Cristina Ortiz","Piano","","","",,,,,,13,,,,,,,,,,,,,,,,,,,,,,,
"Brahms","","","","","",,,,,,14,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","Sinfonia n. 5","","","","",,,,,,15,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","Sinfonia n. 8","","","","",,,,,,16,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","Nona Sinfonia","","","","",,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
"Brahms","Concerto para Piano e Orquestra","","","","",,,,,,18,,,,,,,,,,,,,,,,,,,,,,,
"Bach","Haendel","Barroco","","","",,,,,,19,,,,,,,,,,,,,,,,,,,,,,,
"Scherzo","Beethoven","Chopin","Brahms","Piano","",,,,,,20,,,,,,,,,,,,,,,,,,,,,,,
"Bach","Haendel","","","","",,,,,,21,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","Concerto","","","","",,,,,,22,,,,,,,,,,,,,,,,,,,,,,,
"Carl Nielsen","Anton Bruckner","","","","",,,,,,23,,,,,,,,,,,,,,,,,,,,,,,
"Bach","Rameau","Pachelbel","","","",,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
"Anton Bruckner","Sinfonia em Mi bemol Maior","","","","",,,,,,25,,,,,,,,,,,,,,,,,,,,,,,
"Carlos Gomes","Schumann","Bartok","","","",,,,,,26,,,,,,,,,,,,,,,,,,,,,,,
"Beethoven","Alban Berg","Piano","Sonata","Stephen Bishop","",,,,,,27,,,,,,,,,,,,,,,,,,,,,,,
"Bach","Concerto em Ré menor","","","","",,,,,,28,,,,,,,,,,,,,,,,,,,,,,,
