PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"170",0
1,"171",0
2,"172",0
3,"175",0
4,"286",0
5,"287",0
6,"288",0
7,"291",0
8,"293",0
9,"295",0
10,"296",0
11,"298",0
12,"308",0
13,"309",0
14,"314",0
15,"315",0
16,"316",0
17,"319",0
18,"323",0
19,"434",0
20,"459",0
21,"460",0
22,"579",0
23,"580",0
24,"581",0
25,"582",0
26,"584",0
27,"586",0
28,"587",0
29,"588",0
30,"589",0
31,"590",0
32,"592",0
33,"593",0
34,"594",0
35,"599",0
36,"600",0
37,"601",0
38,"602",0
39,"603",0
40,"606",0
41,"607",0
42,"610",0
43,"611",0
44,"612",0
45,"614",0
46,"615",0
47,"616",0
48,"774",0
49,"775",0
50,"777",0
51,"778",0
52,"779",0
53,"780",0
54,"781",0
55,"782",0
56,"783",0
57,"787",0
58,"791",0
59,"792",0
60,"793",0
61,"794",0
62,"795",0
63,"796",0
64,"797",0
65,"798",0
66,"799",0
67,"800",0
68,"820",0
69,"829",0
70,"830",0
71,"836",0
72,"837",0
73,"839",0
74,"851",0
75,"852",0
76,"862",0
77,"863",0
78,"864",0
79,"866",0
80,"873",0
81,"875",0
82,"876",0
83,"613",0
