NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Renato Cohen","COHEN, R.","2","",0,,,,
"Monica Andrea Grando","GRANDO, M. A.","1","",0,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",0,,,,
"Claudiney Carrasco","CARRASCO, C.","2","",1,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",1,,,,
"Prof Dr Edson Zampronha","ZAMPRONHA, P. D. E.","2","",2,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",2,,,,
"Prof Dr Silvio Ferraz","FERRAZ, P. D. S.","2","",3,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",3,,,,
"Edson Zampronha","ZAMPRONHA, E.","2","",4,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",4,,,,
"MARIA LUCIA SENNA MACHADO PASCOAL","PASCOAL, M. L. S. M.","1","",5,,,,
"Rosangela Pereira de Tugny","TUGNY, R. P.","3","",5,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",5,,,,
"CLAUDINEY RODRIGUES CARRASCO","Carrasco, Claudiney","2","",6,,,,
"Nelson Cavalcanti de Almeida","ALMEIDA, N. C.","3","",6,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",6,,,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","2","",7,,,,
"Janete El Haouli Santos","SANTOS, J. E. H.","3","",7,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",7,,,,
"EUSEBIO LOBO DA SILVA","Silva, Eusébio Lobo da","2","",8,,,,
"MARCIA MARIA STRAZZACAPPA HERNANDEZ","Strazzacappa Hernández, M.M.","3","",8,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",8,,,,
"Silvio Ricardo Baroni","BARONI, S. R.","1","",9,,,,
"Attilio Mastrogiovanni","MASTROGIOVANNI, A.","3","",9,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",9,,,,
"MARIA LUCIA SENNA MACHADO PASCOAL","PASCOAL, M. L. S. M.","1","",10,,,,
"Rogerio Luiz Moraes Costa","COSTA, R. L. M.","3","",10,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",10,,,,
"EUSEBIO LOBO DA SILVA","Silva, Eusébio Lobo da","2","",11,,,,
"SARA PEREIRA LOPES","Lopes, Sara","1","",11,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","3","5348922588451895",11,,,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","2","",12,,,,
"Rodolfo Caesar","CAESAR, R.","3","",12,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",12,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",13,,,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","1","",14,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",14,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",15,,,,
"Fernando Iazzeta","IAZZETA, F.","3","",16,,,,
"Rodolfo Caesar","CAESAR, R.","1","",16,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",16,,,,
"Marisa Trench Fonterrada","FONTERRADA, M. T.","1","",17,,,,
"Sonia Regina Albano de Lima","LIMA, Sonia R. A. de","3","",17,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",17,,,,
"Marisa Trench Fonterrada","FONTERRADA, M. T.","1","",18,,,,
"Sonia Regina Albano de Lima","LIMA, Sonia R. A. de","3","",18,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",18,,,,
"Jorge Sergio Pérez Gallardo","GALLARDO, J. S. P.","1","",19,,,,
"Eliana Ayoub","AYOUB, E.","2","",19,,,,
"Elizabeth Paoliello Machado de Souza","SOUZA, E. P. M. de","3","",19,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","4","5348922588451895",19,,,,
"Florivaldo Menezes Filho","MENEZES, F.","1","",20,,,,
"Paulo Augusto Castagna","CASTAGNA, P. A.","3","",20,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",20,,,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","1","",21,,,,
"Sérgio Freire Garcia","FREIRE, S.","3","",21,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",21,,,,
"Fernando Iazzeta","IAZZETA, F.","1","",22,,,,
"Marcelo Gomes de Queiroz","QUEIROZ, M. G. de","3","",22,,,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",22,,,,
