SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",0,,,,,,,,,,,,,,,,,,,,,,,,
"Educação Superior","Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","",,0,,,,,,,,,,,,,,,,,,,,,,,
"Educação Superior","","",,,7,,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,11,,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,12,,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,13,,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,14,,,,,,,,,,,,,,,,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,15,,,,,,,,,,,,,,,,,,,,,,
"Pesquisa e desenvolvimento científico","Educação","",,,16,,,,,,,,,,,,,,,,,,,,,,
"Educação Superior","","",,,17,,,,,,,,,,,,,,,,,,,,,,
"Educação Superior","","",,,,0,,,,,,,,,,,,,,,,,,,,,
"Educação Superior","","",,,,1,,,,,,,,,,,,,,,,,,,,,
"Educação Superior","","",,,,2,,,,,,,,,,,,,,,,,,,,,
"Educação Superior","","",,,,4,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,,,0,,,,,,,,,,,,,,,,,,,,
"Educação","Pesquisa e desenvolvimento científico","",,,,,1,,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,0,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,1,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,2,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,3,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,4,,,,,,,,,,,,,,,,,,,
