TEXTO-EM-JORNAL-OU-REVISTA_Id,SEQUENCIA-PRODUCAO,TEXTOS-EM-JORNAIS-OU-REVISTAS_Id
0,"326",0
1,"327",0
2,"328",0
3,"329",0
4,"330",0
5,"331",0
6,"333",0
7,"334",0
8,"335",0
9,"336",0
10,"337",0
11,"338",0
12,"339",0
13,"340",0
14,"341",0
15,"342",0
16,"343",0
17,"344",0
18,"345",0
19,"346",0
20,"347",0
21,"348",0
22,"349",0
23,"350",0
24,"351",0
25,"352",0
26,"353",0
27,"354",0
28,"355",0
29,"356",0
30,"357",0
31,"358",0
32,"359",0
33,"360",0
34,"361",0
35,"362",0
36,"363",0
37,"364",0
38,"365",0
39,"366",0
40,"367",0
41,"368",0
42,"369",0
43,"370",0
44,"371",0
45,"372",0
46,"373",0
47,"374",0
48,"375",0
49,"376",0
50,"377",0
51,"378",0
52,"379",0
53,"380",0
54,"381",0
55,"382",0
56,"383",0
57,"384",0
58,"385",0
59,"386",0
60,"387",0
61,"388",0
62,"389",0
63,"390",0
64,"391",0
65,"392",0
66,"393",0
67,"394",0
68,"395",0
69,"396",0
70,"397",0
71,"398",0
72,"399",0
73,"400",0
74,"401",0
75,"402",0
76,"403",0
77,"404",0
78,"405",0
79,"406",0
80,"407",0
81,"408",0
82,"409",0
83,"410",0
84,"411",0
85,"412",0
86,"413",0
87,"414",0
88,"415",0
89,"416",0
90,"417",0
91,"418",0
92,"419",0
93,"420",0
94,"421",0
95,"422",0
96,"423",0
97,"424",0
98,"425",0
99,"426",0
100,"427",0
101,"428",0
102,"429",0
103,"430",0
104,"431",0
105,"709",0
106,"710",0
107,"332",0
