NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id
"Arthur Miranda Neto","MIRANDA NETO, A.","1","0924465846411495",0,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","2","6540619386101635",0,,,,,,,,,,,,
"Arthur Miranda Neto","MIRANDA NETO, A.","1","0924465846411495",1,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","2","6540619386101635",1,,,,,,,,,,,,
"Neucimar Leite","LEITE, N.","3","8647239680081745",1,,,,,,,,,,,,
"Douglas Zampieri","ZAMPIERI, D.","4","1655951355148873",1,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","5","9224426261471914",1,,,,,,,,,,,,
"André Mendeleck","MENDELECK, A.","6","4092232843157583",1,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",2,,,,,,,,,,,,
"Franklin César flores","FLORES, F. C.","2","0795967777970879",2,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","3","9224426261471914",2,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",3,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","2","9224426261471914",3,,,,,,,,,,,,
"Arthur Miranda Neto","MIRANDA NETO, A.","1","0924465846411495",4,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","2","6540619386101635",4,,,,,,,,,,,,
"Douglas Zampieri","ZAMPIERI, D.","3","1655951355148873",4,,,,,,,,,,,,
