NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-SIMPOSIO_Id
"Simpósio","A Comparison between Optimum-Path Forest and k-Nearest Neighbors Classifiers","2012","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",0
"Simpósio","Processamento de imagens, video, visualização computacional e computação gráfica","2014","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",1
"Simpósio","Processamento e análise de Imagens de Tensores de Difusão","2010","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",2
"Simpósio","","2008","Canadá","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",3
"Simpósio","","2006","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",4
"Simpósio","","2005","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",5
"Simpósio","New tensorial representation of color images: tensorial morphological gradient applied to color image segmentation.","2007","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",6
"Simpósio","Watershed-based segmentation of the midsagittal section of the corpus callosum in diffusion MRI","2011","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",7
"Simpósio","","2006","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",8
"Simpósio","VII Simpósio de Instrumentação e Imagens Médicas (SIIM)","2015","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",9
"Simpósio","Improvments in watershed-based segmentation of the corpus-callosum in diffusion MRI","2011","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",10
"Simpósio","","2013","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",11
"Simpósio","Segmentation of thalamic nuclei based on tensorial morphological gradient of diffusion tensor fields","2010","Holanda","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","Segmentation of thalamic nuclei based on tensorial morphological gradient of diffusion tensor fields","NAO",12
"Simpósio","","2010","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",13
"Simpósio","Classification of white matter lesions in systemic lupus erythematosus using support vector machines","2011","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",14
"Simpósio","Segmentation of brain structures by watershed transform on tensorial morphological gradient of diffusion tensor imaging","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","Segmentation of brain structures by watershed transform on tensorial morphological gradient of diffusion tensor imaging","NAO",15
