NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SIMPOSIO_Id
"XXV Conference on Graphics, Patterns and Images (SIBGRAPI)","","","","Ouro Preto","",0
"Simpósio de Processamento de Sinais da Universidade Estadual de Campinas (V SPS)","","","","Campinas","",1
"I Simpósio de Processamento de Sinais","","","","Campinas","",2
"Epilepsy at the cutting edge","","","","Montreal","",3
"II Wokshop de Visão Computacional","","","","São Carlos","",4
"II Simpósio de Instrumentação e Imagens Médicas","","","","Águas de São Pedro","",5
"XX Brazilian Symposium on Computer Graphics and Image Processing (SIBGRAPI 2007)","","","","Belo Horizonte","",6
"XXIV Brazilian Symposium in Computer Graphics and Image Processing","","","","Maceió","",7
"I Simpósio Neurovascular","","","","Campinas","",8
"VII Simpósio de Instrumentação e Imagens Médicas (SIIM) / VI Simpósio de Processamento de Sinais da UNICAMP (SPS-UNICAMP)","","","","Campinas","",9
"II Simpósio de Processamento de Sinais","","","","Campinas","",10
"IV Simpósio de Processamento de Sinais","","","","Campinas","",11
"Biomedical Imaging: From Nano to Macro, 2010 IEEE International Symposium on","","","","Rotterdam","",12
"Simpósio "Neuroimagem - funcional, estrutural e conectividade"","","","","Campinas","",13
"II Simpósio de Processamento de Sinais","","","","Campinas","",14
"XXII Brazilian Symposium of Computer Graphics and Imagen Processing (SIBGRAPI2009)","","","","Rio de Janeiro","",15
