TRABALHO-EM-EVENTOS_Id,SEQUENCIA-PRODUCAO,TRABALHOS-EM-EVENTOS_Id
0,"4",0
1,"5",0
2,"11",0
3,"19",0
4,"23",0
5,"31",0
6,"36",0
7,"42",0
8,"52",0
9,"61",0
10,"62",0
11,"70",0
12,"71",0
13,"95",0
14,"121",0
15,"122",0
16,"123",0
17,"124",0
18,"125",0
19,"128",0
20,"130",0
21,"132",0
22,"159",0
23,"160",0
24,"195",0
25,"196",0
26,"197",0
27,"204",0
28,"208",0
29,"209",0
30,"211",0
31,"212",0
32,"213",0
33,"230",0
34,"231",0
35,"232",0
36,"234",0
37,"236",0
38,"237",0
39,"258",0
40,"264",0
41,"265",0
42,"270",0
43,"272",0
44,"273",0
45,"275",0
46,"276",0
47,"277",0
48,"279",0
49,"298",0
50,"299",0
51,"300",0
52,"301",0
53,"1",0
