NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,TRABALHO-TECNICO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",0,,,,,,
"Joaquim Bento de Sousa Ferreira Filho","FERREIRA FILHO, J. B. S.","2","2464089587609552",0,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",1,,,,,,
"Elizabeth Maria Mercier Querido Farina","FARINA, E. M. M. Q.","2","",1,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",2,,,,,,
"JOSÉ CESAR CRUZ JÚNIOR","JOSÉ CESAR CRUZ JÚNIOR","1","0086426315229286",3,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",3,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",4,,,,,,
"Geraldo Sant'Ana de Camargo Barros","BARROS, G. S. C.","2","8404786723177950",4,,,,,,
"José Roberto Kassai","KASSAI, J. R.","1","8702514218064299",5,,,,,,
"Rafael Feltran Barbieri","BARBIERI, R. F.","2","",5,,,,,,
"Francisco Carlos B. Santos","SANTOS, F. C. B.","3","2824313950877049",5,,,,,,
"Luiz Nelson Carvalho","CARVALHO, L. N.","4","5532594920933443",5,,,,,,
"Alexandre Foschine","FOSCHINE, A.","5","",5,,,,,,
"Miguel Juan Bacic","BACIC, M. J.","6","8997803246951593",5,,,,,,
"Antonio Robles Júnior","ROBLES JUNIOR, A.","7","4447961036109424",5,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","8","7916021882928474",5,,,,,,
"Leandro dos Santos Maciel","MACIEL, L. S.","1","8223366539713305",6,,,,,,
"Rosangela Ballini","BALLINI, R.","2","1766558858445284",6,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","3","7916021882928474",6,,,,,,
"Ivette R. Luna Huamaní","HUAMANI, I. R. L.","1","2854855744345507",7,,,,,,
"Leandro dos Santos Maciel","MACIEL, L. S.","2","8223366539713305",7,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","3","7916021882928474",7,,,,,,
"Rosangela Ballini","BALLINI, R.","4","1766558858445284",7,,,,,,
"Rosangela Ballini","BALLINI, R.","1","1766558858445284",8,,,,,,
"Ivette R. Luna Huamaní","HUAMANI, I. R. L.","2","2854855744345507",8,,,,,,
"Lilian Maluf","Maluf, L.","3","",8,,,,,,
