NATUREZA,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-GRADUACAO_Id
"Trabalho de conclusão de curso de graduação","Modelo de previsão de eventos de default em companhias abertas brasileiras","2017","Brasil","Português","","","",0
"Trabalho de conclusão de curso de graduação","Uma análise das contribuições de Daniel Kahneman e Amos Tversky para as Ciências Econômicas","2017","Brasil","Português","","","",1
"Trabalho de conclusão de curso de graduação","Um estudo sobre os fatores determinantes de rating de crédito no período de 2015/2016","2017","Brasil","Português","","","",2
"Trabalho de conclusão de curso de graduação","Dinâmica de Buscas na Internet Pode Ser Um Bom Previsor da Volatilidade dos Preços das Ações no Brasil?","2017","Brasil","Português","","","",3
"Trabalho de conclusão de curso de graduação","A influência das variáveis fundamentalistas no retorno esperado das ações: um estudo para o mercado brasileiro","2015","Brasil","Português","","","",4
"Trabalho de conclusão de curso de graduação","Uma análise do desempenho de carteira baseada na estratégia do value investing no mercado acionário brasileiro","2015","Brasil","Português","","","",5
"Trabalho de conclusão de curso de graduação","DUPLA LISTAGEM INTERNACIONAL: UMA ANÁLISE DO COMPORTAMENTO DOS PREÇOS DAS AÇÕES NEGOCIADAS NO BRASIL E NOS ESTADOS UNIDOS","2017","Brasil","Português","","","",6
"Trabalho de conclusão de curso de graduação","IMPACTO DA NEGOCIAÇÃO DE OPÇÕES SOBRE A VOLATILIDADE DOS PREÇOS À VISTA: UMA ANÁLISE DAS AÇÕES DA VALE E PETROBRÁS","2017","Brasil","Português","","","",7
"Trabalho de conclusão de curso de graduação","Comportamento dos preços das ações de clubes de futebol frente ao seu desempenho em diferentes competições","2017","Brasil","Português","","","",8
"Trabalho de conclusão de curso de graduação","Avaliação dos modelos preditivos de risco &#64257;nanceiro aplicados à realidade brasileira","2017","Brasil","Português","","","",9
"Trabalho de conclusão de curso de graduação","O rodízio dos auditores independentes e o gerenciamento de resultados em instituições abertas não financeiras do Brasil: uma análise econométrica de 2000 a 2015.","2017","Brasil","Português","","","",10
"Trabalho de conclusão de curso de graduação","ANÁLISE DO IMPACTO DAS MUDANÇAS DO RATING NA VOLATILIDADE DOS PREÇOS DAS AÇÕES NO BRASIL","2017","Brasil","Português","","","",11
