OUTRAS-ORIENTACOES-CONCLUIDAS_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-CONCLUIDAS_Id
0,"11",0
1,"18",0
2,"21",0
3,"22",0
4,"23",0
5,"25",0
6,"34",0
7,"36",0
8,"37",0
9,"39",0
10,"40",0
11,"41",0
12,"42",0
13,"48",0
14,"62",0
15,"63",0
16,"75",0
17,"76",0
18,"77",0
19,"78",0
20,"79",0
21,"80",0
22,"81",0
23,"82",0
24,"83",0
25,"94",0
26,"96",0
27,"97",0
28,"101",0
29,"102",0
30,"103",0
31,"117",0
32,"118",0
33,"121",0
34,"122",0
35,"123",0
36,"124",0
37,"125",0
38,"126",0
39,"127",0
40,"129",0
41,"130",0
42,"131",0
43,"132",0
44,"133",0
45,"134",0
46,"143",0
47,"144",0
48,"155",0
49,"156",0
50,"161",0
51,"162",0
52,"163",0
53,"164",0
54,"166",0
55,"167",0
56,"179",0
57,"181",0
58,"187",0
59,"198",0
60,"199",0
61,"206",0
62,"116",0
