AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
0,0,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,,,,,,,,,,,,,,,,,
2,,,0,,,,,,,,,,,,,,,,,,,
3,,,1,,,,,,,,,,,,,,,,,,,
4,,,2,,,,,,,,,,,,,,,,,,,
5,,,3,,,,,,,,,,,,,,,,,,,
6,,,4,,,,,,,,,,,,,,,,,,,
7,,,5,,,,,,,,,,,,,,,,,,,
8,,,6,,,,,,,,,,,,,,,,,,,
9,,,7,,,,,,,,,,,,,,,,,,,
10,,,8,,,,,,,,,,,,,,,,,,,
11,,,10,,,,,,,,,,,,,,,,,,,
12,,,11,,,,,,,,,,,,,,,,,,,
13,,,12,,,,,,,,,,,,,,,,,,,
14,,,13,,,,,,,,,,,,,,,,,,,
15,,,,0,,,,,,,,,,,,,,,,,,
16,,,,1,,,,,,,,,,,,,,,,,,
17,,,,2,,,,,,,,,,,,,,,,,,
18,,,,3,,,,,,,,,,,,,,,,,,
19,,,,4,,,,,,,,,,,,,,,,,,
20,,,,23,,,,,,,,,,,,,,,,,,
21,,,,,5,,,,,,,,,,,,,,,,,
22,,,,,,0,,,,,,,,,,,,,,,,
23,,,,,,1,,,,,,,,,,,,,,,,
24,,,,,,2,,,,,,,,,,,,,,,,
25,,,,,,3,,,,,,,,,,,,,,,,
26,,,,,,4,,,,,,,,,,,,,,,,
27,,,,,,5,,,,,,,,,,,,,,,,
28,,,,,,,0,,,,,,,,,,,,,,,
29,,,,,,,1,,,,,,,,,,,,,,,
30,,,,,,,5,,,,,,,,,,,,,,,
31,,,,,,,,0,,,,,,,,,,,,,,
32,,,,,,,,1,,,,,,,,,,,,,,
33,,,,,,,,2,,,,,,,,,,,,,,
34,,,,,,,,,0,,,,,,,,,,,,,
35,,,,,,,,,1,,,,,,,,,,,,,
36,,,,,,,,,2,,,,,,,,,,,,,
37,,,,,,,,,3,,,,,,,,,,,,,
38,,,,,,,,,4,,,,,,,,,,,,,
39,,,,,,,,,5,,,,,,,,,,,,,
40,,,,,,,,,6,,,,,,,,,,,,,
41,,,,,,,,,7,,,,,,,,,,,,,
42,,,,,,,,,8,,,,,,,,,,,,,
43,,,,,,,,,9,,,,,,,,,,,,,
44,,,,,,,,,,0,,,,,,,,,,,,
45,,,,,,,,,,1,,,,,,,,,,,,
46,,,,,,,,,,2,,,,,,,,,,,,
47,,,,,,,,,,3,,,,,,,,,,,,
48,,,,,,,,,,7,,,,,,,,,,,,
49,,,,,,,,,,8,,,,,,,,,,,,
50,,,,,,,,,,9,,,,,,,,,,,,
51,,,,,,,,,,,1,,,,,,,,,,,
52,,,,,,,,,,,,0,,,,,,,,,,
53,,,,,,,,,,,,1,,,,,,,,,,
54,,,,,,,,,,,,2,,,,,,,,,,
55,,,,,,,,,,,,3,,,,,,,,,,
56,,,,,,,,,,,,4,,,,,,,,,,
57,,,,,,,,,,,,5,,,,,,,,,,
58,,,,,,,,,,,,6,,,,,,,,,,
59,,,,,,,,,,,,7,,,,,,,,,,
