NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PREFACIO-POSFACIO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-TECNICA_Id
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",0,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",1,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",2,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",3,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",4,,,,,,,,,,,,,,
"Ana Maria Goldani","GOLDANI, A. M.","2","",4,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",5,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",6,,,,,,,,,,,,,,
"Angela Kageyama","KAGEYAMA, A.","2","2453258400377594",6,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",7,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",8,,,,,,,,,,,,,,
"Angela Kageyama","KAGEYAMA, A.","2","2453258400377594",8,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",9,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",10,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",10,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","1","4386580095713306",11,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",11,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",12,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",12,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",13,,,,,,,,,,,,,,
