NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Outra","","2016","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",0
"Outra","Economic growth and the labour market in Brazil: routes and challenges","2010","Inglaterra","","NAO_INFORMADO","http://www.britsoc.co.uk/NR/rdonlyres/ADF7459B-C56F-4875-8D5D-95385617AFCC/0/WES_Programme_FINAL_270810.pdf","NAO","Apresentação Oral","Participante","","","NAO",1
"Outra","V Coloquio Latinoamericano de Economistas Políticos","2005","México","","NAO_INFORMADO","http://clepv.tripod.com","NAO","Apresentação Oral","Participante","","","NAO",2
"Outra","Coordenadora da sessão temática Insecurities Latin America","2010","Inglaterra","","NAO_INFORMADO","","NAO","Simposista","Convidado","","","NAO",3
"Outra","XXIV General Conference IUSSP","2001","Brasil","","NAO_INFORMADO","www.iussp.org","NAO","Poster / Painel","Participante","","","NAO",4
"Outra","","2009","Inglaterra","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",5
"Outra","","2016","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",6
"Outra","Contradições das Relações de Trabalho sob a Influência Neoliberal no Brasil","2006","Chile","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",7
"Outra","","2008","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",8
"Outra","","2007","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",9
"Outra","Labor income differences: a comparision between Brazil and Argentina","2009","Marrocos","","NAO_INFORMADO","http://iussp2009.princeton.edu/abstractViewer.aspx?submissionId=90782","NAO","Apresentação Oral","Participante","","Labor income differences: a comparision between Brazil and Argentina","NAO",10
