TIPO,TITULO-DO-CAPITULO-DO-LIVRO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-CAPITULO-DO-LIVRO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Capítulo de livro publicado","Famílias Agrícolas no Meio Urbano: inserção nas cidades das famílias que continuam vinculadas à agricultura","1995","Brasil","Português","IMPRESSO","","NAO","","","NAO",0
"Capítulo de livro publicado","Empobrecimento da População e Inserção da Mulher no Mercado de Trabalho na Região Metropolitana de São Paulo","1996","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"Capítulo de livro publicado","Renda Familiar e Trabalho da mulher na Região Metropolitana de São Paulo nos anos 80 e 90.","2000","Brasil","Português","IMPRESSO","","SIM","","","NAO",2
"Capítulo de livro publicado","O Trabalho da Mulher em Regiões Metropolitanas brasileiras","2003","Brasil","Português","IMPRESSO","","SIM","","","NAO",3
"Capítulo de livro publicado","Renda Familiar e Trabalho Feminino nas Áreas Rurais do Brasil nos anos 90","2004","Brasil","Português","IMPRESSO","","NAO","","","NAO",4
"Capítulo de livro publicado","Disparidades nos rendimentos do trabalho de homens e mulheres nas metrópoles brasileiras","2005","Brasil","Português","IMPRESSO","","SIM","","","NAO",5
"Capítulo de livro publicado","Mulheres no Atual Mercado de Trabalho","2007","Brasil","Português","IMPRESSO","","SIM","","Women in the Current Job Market","NAO",6
"Capítulo de livro publicado","Domicílios de Baixa Renda e Mercado de Trabalho","2007","Brasil","Português","IMPRESSO","","NAO","","Low-Income Households and the Labor Market","NAO",7
"Capítulo de livro publicado","Diferenças de renda do trabalho: uma comparação entre Brasil e Argentina","2009","Brasil","Português","IMPRESSO","","NAO","","Differences in labor income: a comparison between Brazil and Argentina","NAO",8
"Capítulo de livro publicado","Formalização dos contratos de trabalho e salários no Nordeste.","2007","Brasil","Português","VARIOS","","NAO","","Formalization of labor contracts and wages in the Brazilian Northeast","NAO",9
"Capítulo de livro publicado","Economia e Mercado de Trabalho no Brasil","2009","Brasil","Português","IMPRESSO","","NAO","","Economy and Labor Market in Brazil","NAO",10
"Capítulo de livro publicado","Evolução na Estrutura Familiar e sua Associação com a Condição de Pobreza das Famílias Brasileiras.","2009","Espanha","Espanhol","IMPRESSO","","NAO","","","NAO",11
"Capítulo de livro publicado","Formailização dos Contratos de Trabalho e Salários no Nordeste","2009","Brasil","Português","IMPRESSO","","NAO","","","NAO",12
"Capítulo de livro publicado","O Perfil dos Trabalhadores e Trabalhadoras na Economia Informal.","2010","Brasil","Português","MEIO_DIGITAL","http://www.oit.org.br/sites/default/files/topic/employment/pub/perfil_trabalhadores_247.pdf","NAO","","","NAO",13
"Capítulo de livro publicado","How progressive can trade unions really be without gender equality?","2012","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",14
"Capítulo de livro publicado","A desigualdade de gênero no mercado de trabalho.","2012","Brasil","Português","IMPRESSO","","NAO","","","NAO",15
"Capítulo de livro publicado","Os impactos do crescimento econômico com inclusão social na participação das mulheres no mercado de trabalho","2017","Brasil","Português","IMPRESSO","","NAO","","","NAO",16
"Capítulo de livro publicado","Introdução","2017","Brasil","Português","IMPRESSO","","NAO","","","NAO",17
"Capítulo de livro publicado","Perspectivas do Emprego Formal em um Cenário de Crescimento da Economia","2008","Brasil","Português","NAO_INFORMADO","","NAO","","Formal Employment prospects in a scenario of Economic Growth","NAO",18
