NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SEMINARIO_Id
"Seminário Programa das Nações Unidas para desenvolvimento","","","","","",0
"Seminário Tripartite","","","","Brasília","",1
"Tercer Seminario Internacional sobre Desarrollo Regional: Trabajo y Políticas de Desarrollo","","","","Acatlán","",2
"Trabalho Feminino nas áreas rurais do Brasil, nos anos 90","","","","Campinas","",3
"A Economia, a Demografia e a Questão Social no Estado de São Paulo.","","","","Campinas","",4
"","","","","Campinas","",5
"Diálogos transversais em gênero e fecundidade: articulações contemporâneas","","","","Campinas","",6
"Desenvolvimento com distribuição de renda","","","","São Paulo","",7
"ICDD Finance, Administration and Reporting Workshop.","","","","Kassel, Alemanha.","",8
"","","","","Campinas - SP","",9
"Striving for Decent Work-Achievements and Challenges in Global Perspective","","","","Kassel","",10
