TITULO-DO-LIVRO,NUMERO-DE-VOLUMES,PAGINA-INICIAL,PAGINA-FINAL,ISBN,ORGANIZADORES,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Agropecuária e Agroindústria no Brasil: Ajuste, Situação Atual e Perspectivas.","01","151","171","85-7121-05","Ramos P.; Reydon B.","1ª","","Campinas-SP","ABRA",0
"Crise e Trabalho no Brasil. Modernidade ou Volta ao Passado?","01","151","170","8573200413","Mattoso,J.E.L.; Oliveira, C.A.B.","1ª","","São Paulo","Editora Pagina Aberta Ltda.",1
"Trabalho e Gênero: Mudanças, Permanências e Desafios","01","","","85-7326-18","Rocha, M.I. Baltar","1ª","","São Paulo - Brasil","Editora 34",2
"Trabalho, Mercado e Sociedade: O Brasil nos anos 90","","199","229","8571394938","PRONI, M. W. e HENRIQUE, W (Org.).","","","São Paulo","Editora UNESP e UNICAMP",3
"O Novo Rural Brasileiro Novas Atividades Rurais","6","219","242","8573832436","Campanhola, Clayton; Graziano da Silva, José","1","","Brasilia DF","Embrapa Informação Tecnológica",4
"O trabalho no setor terciário: emprego e desenvolvimento","","157","176","8587326198","DIEESE;CESIT","","","São Paulo","Dieese e Cesit",5
"Debates Econômicos - Economia Social: Mercado de Trabalho, Relações Sindicais, Pobreza e Ajuste Fiscal","1","133","138","9788536110769","Eduardo Fagnani; Marcio Pochmann","","","São Paulo","LTr",6
"Debates Contemporâneos - Economia Social e do Trabalho: Mercado de Trabalho, Relações Sindicais, Pobreza e Ajuste Fiscal","1","148","158","9788536110769","Eduardo Fagnani; Marcio Pochmann","","","São Paulo","LTr",7
"Pobreza y Vulnerabilidad Social: Enfoques y Perspectivas","","169","192","9788562016028","Eramis Bueno Sánchez; José Eustáquio Diniz Alves","","3","Rio de Janeiro","ALAP Editor",8
"Brasil e Nordeste. Ocupação, Desemprego e Desigualdade.","","","","9788574851365","MACAMBIRA,J. e SANTOS,Maria dos.","","","Fortaleza","Banco do Nordeste do Brasil",9
"O Trabalho Reconfigurado: ensaios sobre Brasil e Mexico","1","27","46","9788574198842","Marcia de Paula Leite; Angela Maria Carneiro Araujo","1","","São Paulo","Annablume",10
"Familias y Relaciones Diferenciales: Género y Edad.","1","199","214","9788483729","Aizpuru, P. G.","","","Murcia","Universidad de Murcia, Servicio de Publicaciones",11
"Dinâmicas do Mercado de Trabalho do Nordeste","1","179","192","9788577454433","Paulo Aguiar do Monte; Ivan Targino Moreira","","","João Pessoa","Editora Universitária - UFPB",12
"Série Trabalho Decente no Brasil","v.1","1","34","9789228237504","Escritório da Organização Internacional do Trabalho (OIT) no Brasil","","","Brasília","OIT",13
"Sustainable growth, development and labour: progressive responses at local, national and global level.","1","173","198","9788599944332","José Dari Krein; Eugenia Trancoso Leone, Pedro Henrique Evangelista Duarte.","1","","Campinas/SP","Curt Nimuendajú",14
"Diálogos transversais em gênero e fecundidade. Articulações contemporâneas.","1","79","88","9788565608053","Margareth Arilha; André Junqueira Caetano; Moema Guedes; Gláucia dos Santos Marcondes.","1","","Campinas/SP","Librum",15
"Mundo do trabalho das mulheres: ampliar os direitos e promover a igualdade","1","80","100","9788586215926","Eugênia Troncoso Leone, José Dari Krein, Marilane Oliveira Teixeira","1","","São Paulo","Curt Nimuendajú",16
"Reflexões coletivas de sindicalistas - Fortalecimento político das mulheres para garantir e ampliar direitos, promover a igualdade no mundo do trabalho e a autonomia econômica","1","119","","9788586215919","José dari Krein, Eugenia Troncoso Leone, Marilane Oliveira Teixeira","1","","São Paulo","Curt Nimuendajú",17
"Previdência Social: Como Incluir os Excluídos?","1","99","108","9788536112022","Eduardo Fagnani; Wilnês Henrique; Clemente Ganz Lúcio","","","São Paulo","LTr",18
