DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,RELATORIO-DE-PESQUISA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Publicado em CD-ROM","",10,,,,,,,,,,,,
"","The woman in the recent recovery of the Brazilian labor market in XVI National Meeting of Population Studies.",20,,,,,,,,,,,,
"","Differences in labor income: a comparison between Brazil and Argentina in Third Congress of the Latin American Population Association.",21,,,,,,,,,,,,
"Artigo aceito para o evento: 53. IAC - Congreso Internacional de Americanistas - Los pueblos americanos: cambios y continuidades. La construción de lo propio en un mundo globalizado, ocorrido entre os dias 19 a 24 de julho, dentro do Simpósio - Género: Identidades, trabajo, poderes e saberes.","",22,,,,,,,,,,,,
"","Formalization of employment contracts and salaries in the Brazilian Northeast in VI Regional Meeting for the Study of Labor.",24,,,,,,,,,,,,
"","Women's paid work and income of Brazilian families: 1981 2005 in Second Congress of Feminist Economics.",25,,,,,,,,,,,,
"","Differences in labor income in Brazil: 2004 and 2007 in XI National Meeting of ABET.",28,,,,,,,,,,,,
"","Determinants of inequality in the labor market: a comparative study between Brazil and Argentina in XXVIII International Congress - LASA - Latin American Studies Association.",29,,,,,,,,,,,,
"","Prospects for formal job creation in Economic Growth Scenario in Social Charter and Employment.",,5,,,,,,,,,,,
"","Economy and Labor Market in Brazil in Social Charter and Employment.",,6,,,,,,,,,,,
"","Contribution to Social Security and Information Labor Market in Social Charter and Employment.",,7,,,,,,,,,,,
"","The woman in the recent recovery of the labor market in Brazilian Journal of Population Studies.",,11,,,,,,,,,,,
"","Economy and Development Journal. V.6, nº 1, 2007. Federal University of Pernambuco. Department of Economics/PIMES ? João Pessoa: Ed. Universitária da UFPB.",,14,,,,,,,,,,,
"","Women in the Current Job Market in the book Economics Debates - Social Economy: Labor Market, Union Relations, Poverty and Fiscal Adjustment.",,,6,,,,,,,,,,
"","Low-Income Households and the Labor Market in the book Contemporary Debates - Social and Labor Economy: Labor Market, Union Relations, Poverty and Fiscal Adjustment.",,,7,,,,,,,,,,
"","Differences in labor income: a comparison between Brazil and Argentina in Poverty and Social Vulnerability: Approaches and Perspectives.",,,8,,,,,,,,,,
"","Formalization of labor contracts and wages in the Brazilian Northeast in Economy and Development Journal.",,,9,,,,,,,,,,
"","Economy and Labor Market in Brazil in Work Reconfigured: Essays on Brazil and Mexico.",,,10,,,,,,,,,,
"Série Trabalho Decente no Brasil - Documento de trabalho n.3.","",,,13,,,,,,,,,,
"","Formal Employment prospects in a scenario of Economic Growth in Social Security: How to Include the Excluded?",,,18,,,,,,,,,,
"Entrevista para o Jornal da Fundação. Orgão Informativo da Fundação de Ensino Eurípedes Soares da Rocha","",,,,0,,,,,,,,,
"Entrevista realizada por Sergio Lamucci com Eugenia Troncoso Leone e Paulo Baltar","",,,,3,,,,,,,,,
"artigo publicado no Jornal : Mulheres de circulação nacional.","",,,,5,,,,,,,,,
"Anselmo L. Santos (coordenador pela UNICAMP) e Fátima Fernandes de Araújo (coordenadora pelo CEPAM).","",,,,,10,,,,,,,,
"17 a 21/06/2006","",,,,,,0,,,,,,,
"3 a 5/09/2006","",,,,,,1,,,,,,,
"Apresentação oral do trabalho: DIFERENÇAS DE RENDA DO TRABALHO NO BRASIL: 2004 E 2007, no XI Encontro Nacional da ABET, a ser realizado entre os dias 28 de setembro a 01 de outubro de 2009, na Universidade Estadual de Campinas - UNICAMP, Campinas-SP.","",,,,,,3,,,,,,,
"O 54 International Congress of Americanists "Building Dialogues in the Americas" ocorrerá em Viena na Austria, entre os dias 15 a 20 de julho de 2012. Neste congresso cordenarei a Sessão temática 778 - Brasil y México: dos esperiencias de inserción en la globalización y sus repercusiones para el mercado de trabajo.","",,,,,,,0,,,,,,
"O relatório corresponde ao Edital CNPq 03/2003 referente ao processo 506272/2003-6, vigência 01/08/2004 a 31/07/2006 vinculado à pesquisa ?Mercado de Trabalho nas Áreas Metropolitanas de 1992 a 2002: efeitos sobre a população masculina e feminina?, Processo: 501287/2003-5, vigência 01 de Agosto de 2003 a 28 de Fevereiro de 2007, sob coordenação da professora Eugenia Troncoso Leone, com auxílio técnico de Fabíola Valio e Marcelo Tavares.","",,,,,,,,1,,,,,
"O relatório corresponde ao Edital CNPq 05/2004 referente ao processo 503527/2004-1, vigência 01/08/2004 a 31/07/2007 vinculado à pesquisa ?Mercado de Trabalho nas Áreas Metropolitanas de 1992 a 2002: efeitos sobre a população masculina e feminina?, Processo: 501287/2003-5, vigência 01/08/2003 a 28/02/2007 e, posteriormente, à pesquisa ?Mercado de Trabalho, Gênero e Renda Familiar?, Processo: 301737/2006-1, ambas sob coordenação da Professora Eugenia Troncoso Leone. Participaram deste relatório as alunas de graduação em Ciências Econômicas do Instituto de Economia da Unicamp: Ana Luiza Guimarães Lodi e Nathalia Borges.","",,,,,,,,2,,,,,
"Através de uma recuperação histórica dos processos estruturais da economia brasileira entre as décadas de 1940 e 1990, associados às Transformações mais amplas de ordem societária, examina-se, nesta dissertação, a partir dos dados das Pesquisas Nacionais por Amostra de Domicílios (PNAD´s) e da Relação Anual de Informações Sociais do Ministério do Trabalho (RAIS) das Regiões Metropolitanas de São Paulo e Recife, as especificidades da inserção da mão-de-obra feminina no mercado de trabalho urbano, enfatizando especialmente a forma como as dramáticas alterações econômico-produtivas provenientes da crise econômica mundial vem, nos anos 90, repercutindo sobre a estrutura ocupacional e, conseqüentemente, sobre as formas de inserção da mão-de-obra feminina no mercado de trabalho, em especial, no formal e regulamentado.","",,,,,,,,,0,,,,
"Os impactos negativos das transformações do mercado de trabalho brasileiro nos anos 90 sobre a geração de posto de trabalho são particularmente desfavoráveis aos jovens. Assim, fatores como o aumento do desemprego, as piores condições de inserção ocupacional e a mudança na composição do emprego assalariado, com a crescente participação dos postos sem carteira assinada no total de ocupações, assumem proporções ainda maiores para este grupo populacional.
Destaca-se, como um movimento comum entre as diferentes metrópoles brasileiras, a perda de espaço do jovem no que diz respeito ao emprego, explicitada através de um crescimento desproporcional das taxas de desemprego aberto para este grupo etário, comparativamente às outras faixas de idade. Essa situação adversa do mercado de trabalho corrobora a ampliação de um problema relacionado às maiores dificuldades de incorporação social dos jovens por meio do emprego. Nesse sentido, a origem familiar assume um papel fundamental na determinação de diferentes possibilidades de incorporação juvenil aos postos de trabalho gerados.","",,,,,,,,,1,,,,
"DIssertação de mestrado marcada para ser defendida no dia 27 de agosto de 2009.","",,,,,,,,,4,,,,
"(dentro do projeto de pesquisa: Mulher, Mercado de Trabalho e Pobreza: um estudo da inserção da mulher na atividade econômica e suas implicações para a família, de 02/95 a 02/96).","",,,,,,,,,,1,,,
"(dentro do projeto de pesquisa: Mulher, Mercado de Trabalho e Pobreza: um estudo da inserção da mulher na atividade econômica e suas implicações para a família, de 02/96 a 02/97)","",,,,,,,,,,2,,,
"(dentro do projeto de pesquisa: emprego feminino - formas de expansão e natureza da inserção, 03/97 a 02/98)","",,,,,,,,,,3,,,
"(dentro do projeto de pesquisa: emprego feminino - formas de expansão e natureza da inserção, 03/98 a 02/99)","",,,,,,,,,,4,,,
"(dentro do projeto de pesquisa: emprego feminino - formas de expansão e natureza da inserção, 03/98 a 02/99).","",,,,,,,,,,5,,,
"Brasil/Português","",,,,,,,,,,10,,,
"dentro do projeto de pesquisa: emprego feminino - formas de expansão e natureza da inserção, 03/98 a 02/99)","",,,,,,,,,,12,,,
"dentro do projeto de pesquisa: emprego-feminino - formas de expansão e natureza dainserção, 03/98 a 02/99)","",,,,,,,,,,13,,,
"dentro do projeto de pesquisa: emprego feminino - formas de expansão e natureza da inserção, 03/98 a 02/99)","",,,,,,,,,,14,,,
"dentro do projeto de pesquisa: emprego feminino - formas de expansão e natureza da inserçã, 03/97 a 02/98)","",,,,,,,,,,15,,,
"dentro do projeto de pesquisa: Mulher, Mercado de Trabalho e Pobreza: um estudo da inserção da mulher na atividade econômica e suas implicações para a fam~ilia, de 02/06 a 02/97)","",,,,,,,,,,16,,,
"dentro do projeto de pesquisa: Mulher, Mercado de Trabalho e Pobreza: um estudo da inserção da mulher na atividade econômica e suas implicações para a família, de 02/95 a 02/96)","",,,,,,,,,,17,,,
"Membro Suplente da banca Examinadora.","",,,,,,,,,,,0,,
"Membro suplente da banca examinadora.","",,,,,,,,,,,2,,
"Participei como membro suplente da banca de qualificação e da banca de defesa.","",,,,,,,,,,,6,,
"Participei na banca de qualificação e na banca examinadora como suplente.","",,,,,,,,,,,7,,
"Membro suplente da banca examinadora.","",,,,,,,,,,,10,,
"Membro suplente da banca de defesa de mestrado em sociologia de Luciana Ramirez da Cruz.","",,,,,,,,,,,12,,
"Membro Suplente da Banca Examinadora.","",,,,,,,,,,,,2,
"Participação como membro suplente na banca examinadora de doutorado de Maria de Fátima Guedes Chaves, orientada por Maria Coleta Ferreira Albino de Oliveira.","",,,,,,,,,,,,7,
"Disciplina CE 431 - Economia Matemática II","",,,,,,,,,,,,,2
"Seleção Pública Provas e Títulos Processo Seletivo nº 26-P-18204/2009
Departamento de Teoria Econômica
Área: Estatística Econômica e Econometria
Disciplina:CE-432 Estatística Econômica e Introdução a Econometria
BANCA: Titulares:Ângela Antonia Kageyama
			   Eugênia Troncoso Leone
			   Paulo Sérgio Fracalanza","",,,,,,,,,,,,,3
