PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Distribuição de Renda","modernização da agricultura","","","","",0,,,,,,,,,,,,,,,,,,,,
"Trabalho","Pobreza","condições de vida","famílias agrícolas","","",,0,,,,,,,,,,,,,,,,,,,
"Distribuição de Renda","modernização da agricultura","","","","",,,0,,,,,,,,,,,,,,,,,,
"condições de vida","Distribuição de Renda","famílias agrícolas","Pobreza","","",,,1,,,,,,,,,,,,,,,,,,
"Trabalho","gênero","Família","","","",,,2,,,,,,,,,,,,,,,,,,
"gênero","condições de vida","Trabalho","","","",,,3,,,,,,,,,,,,,,,,,,
"Tabelas de vida","status familiar","","","","",,,4,,,,,,,,,,,,,,,,,,
"mobilidade","inserção feminina","","","","",,,5,,,,,,,,,,,,,,,,,,
"Modernização agrícola","","","","","",,,6,,,,,,,,,,,,,,,,,,
"pobreza agrícola","","","","","",,,7,,,,,,,,,,,,,,,,,,
"Tipologia","Análise Multivariada","","","","",,,8,,,,,,,,,,,,,,,,,,
"Emprego","Mercado de Trabalho","Região Metropolitana de São Paulo","","","",,,9,,,,,,,,,,,,,,,,,,
"gênero","Renda","Ocupação","","","",,,10,,,,,,,,,,,,,,,,,,
"gênero","Renda","Ocupação","","","",,,11,,,,,,,,,,,,,,,,,,
"gênero","Renda","Ocupação","","","",,,12,,,,,,,,,,,,,,,,,,
"gênero","Ocupação","Renda","","","",,,13,,,,,,,,,,,,,,,,,,
"Labor Income","Labor Market","Gender","","","",,,27,,,,,,,,,,,,,,,,,,
"Distribuição de Renda","Mercado de Trabalho","Emprego","","","",,,28,,,,,,,,,,,,,,,,,,
"desigualdade","gênero","Mercado de Trabalho","","","",,,29,,,,,,,,,,,,,,,,,,
