NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",0,,,,
"Eduardo Luiz Gonçalves Rios Neto","RIOS NETO, E. L. G.","3","",0,,,,
"Waldir José de Quadros","QUADROS, W. J.","4","",0,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",0,,,,
"José Francisco Graziano da Silva","SILVA, J. F. G.","2","",1,,,,
"Hildete Pereira de Melo Hermes de Araujo","ARAUJO, H. P. M. H.","3","",1,,,,
"Mauro Eduardo Del Grossi","GROSSI, M. E.","4","",1,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",1,,,,
"Jorge Ruben Biton Tapia","TAPIA, J. R. B.","2","",2,,,,
"Geraldo Di Giovanni","GIOVANNI, G.","3","",2,,,,
"Eduardo Matarazzo Suplicy","SUPLICY, E. M.","4","",2,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",2,,,,
"José Francisco Graziano da Silva","SILVA, J. F. G.","2","",3,,,,
"Paul Israel Singer","SINGER, P. I.","3","",3,,,,
"Walter Belik","BELIK, W.","4","",3,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",3,,,,
"Angela Antonia Kageyama","KAGEYAMA, A. A.","2","2453258400377594",4,,,,
"Walter Belik","BELIK, W.","4","",4,,,,
"Maria Christina Siqueira de Souza Campos","CAMPOS, M. C. S. S.","3","",4,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",4,,,,
"Jorge Ruben Biton Tapia","TAPIA, J. R. B.","2","",5,,,,
"Lilian Montali","MONTALI, L.","3","",5,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",5,,,,
"Waldir Quadros","QUADROS, W.","1","",6,,,,
"Carlos Alonso Barbosa de Oliveira","OLIVEIRA, C. A. B.","2","",6,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","3","8193784842843418",6,,,,
"Rodolfo Hoffmann","HOFFMANN, R.","1","4372333117476669",7,,,,
"Rosangela Balini","Balini, Rosangela","2","",7,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","3","8193784842843418",7,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",8,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",9,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",10,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",11,,,,
"Rosana Baeninger","BAENINGER, R.","5","",12,,,,
"Lilia Montali","MONTALI, L.","2","",12,,,,
"Gilda Figueiredo Portugal Gouvêa","GOUVEA, G. F. P.","1","",12,,,,
"Arlete Moysés Rodrigues","RODRIGUES, A. M.","3","",12,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","4","8193784842843418",12,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",13,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",14,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",15,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",16,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",17,,,,
"Marcio Pochmann","POCHMANN, M.","2","",18,,,,
"Maria Cristina Aranha Bruschini","BRUSCHINI, M. C. A.","3","",18,,,,
