SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Desenvolvimento Rural","","",0,,,,,,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,0,,,,,,,,,,,,,,,,
"Desenvolvimento Rural","","",,,0,,,,,,,,,,,,,,,
"Desenvolvimento Rural","","",,,1,,,,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,2,,,,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,3,,,,,,,,,,,,,,,
"Outros Setores","","",,,4,,,,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,5,,,,,,,,,,,,,,,
"Desenvolvimento Rural","","",,,6,,,,,,,,,,,,,,,
"Desenvolvimento Urbano","","",,,8,,,,,,,,,,,,,,,
"Desenvolvimento Urbano","","",,,10,,,,,,,,,,,,,,,
"Desenvolvimento Urbano","","",,,11,,,,,,,,,,,,,,,
"Desenvolvimento Urbano","","",,,12,,,,,,,,,,,,,,,
"Desenvolvimento Urbano","","",,,13,,,,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,3,,,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,23,,,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,0,,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,1,,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,2,,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,3,,,,,,,,,,,,,
