CODIGO-INSTITUICAO,SIGLA-INSTITUICAO,SIGLA-UF-INSTITUICAO,SIGLA-PAIS-INSTITUICAO,NOME-PAIS-INSTITUICAO,FLAG-AGENCIA-FOMENTO,FLAG-INSTITUICAO-DE-ENSINO,INFORMACOES-ADICIONAIS-INSTITUICOES_Id
"000100000991","INRIA","","FRA","França","NAO","NAO",0
"000200000993","SBC","RS","BRA","Brasil","NAO","NAO",0
"000201000997","SBC","RS","BRA","Brasil","NAO","NAO",0
"000201001993","","RS","BRA","Brasil","NAO","NAO",0
"000201002990","","RS","BRA","Brasil","NAO","NAO",0
"000300000995","PRONEX","SP","BRA","Brasil","NAO","NAO",0
"000400000997","","","","","NAO","NAO",0
"000500000999","","","","","NAO","NAO",0
"000600000990","","","","","NAO","NAO",0
"000700000992","","","","","NAO","NAO",0
"000800000994","","","","","NAO","NAO",0
"000900000996","","","","","NAO","NAO",0
"001000000998","PIBIC","SP","BRA","Brasil","SIM","NAO",0
"001100000990","CTBE","SP","BRA","Brasil","NAO","NAO",0
"001200000991","MSR","","EUA","Estados Unidos","NAO","NAO",0
"001300000993","","","","","NAO","NAO",0
"001400000995","","","","","NAO","NAO",0
"001500000997","","","","","NAO","NAO",0
"001600000999","PUC RIO","RJ","BRA","Brasil","NAO","NAO",0
"002200000000","CNPq","DF","BRA","Brasil","SIM","SIM",0
"006700000002","USP","SP","BRA","Brasil","NAO","SIM",0
"007900000004","UNICAMP","SP","BRA","Brasil","NAO","SIM",0
"007901000997","UNICAMP","SP","BRA","Brasil","NAO","NAO",0
"007901001993","","SP","BRA","Brasil","NAO","NAO",0
"011100000008","PUC-Rio","RJ","BRA","Brasil","NAO","SIM",0
"011101000990","PUC/RJ","RJ","BRA","Brasil","NAO","NAO",0
"024300000003","FURNAS","RJ","BRA","Brasil","NAO","NAO",0
"024301000996","FURNAS","RJ","BRA","Brasil","NAO","NAO",0
"024301001992","","RJ","BRA","Brasil","NAO","NAO",0
"134100000003","U.WATERLOO","","CAN","Canadá","NAO","NAO",0
"134101000996","U.W.","","CAN","Canadá","NAO","NAO",0
"139600000003","WWU MÜNSTER","","RFA","Alemanha","NAO","NAO",0
"166400000007","DAUPHINE","","FRA","França","NAO","NAO",0
"985600001993","","SP","BRA","Brasil","NAO","NAO",0
