DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"Linhas de pesquisa./projeto Sistemas de informações geográficas
Mes 10
Vínculo com tese doutorado, concluída 2003","",39,,,,,,,,,,
"Linhas de pesquisa./projeto Sistemas de informações geográficas
Anais eletronicos, mes 11
Vínculo com tese mestrado, concluída em 2003","",40,,,,,,,,,,
"Linha de pesquisa - Sistemas de informação : bancos de dados; Teoria da computação: Biologia computacional
Mes 12
Vínculo com tese doutorado","",41,,,,,,,,,,
"Linha de pesquisa: Sistemas de informacao - Interfaces humano-computador
Mes 11
Vínculo com tese doutorado, não concluída","",42,,,,,,,,,,
"Linha de pesquisa/projeto Sistemas de informações geográficas","",43,,,,,,,,,,
"Linhas de pesquisa./projeto Sistemas de informações geográficas
Mes 11
Vínculo com tese doutorado, concluída 2003","",44,,,,,,,,,,
"Mes - 10/2004
Linha de pesquisa - Sistemas de informacao -Bancos de dados; 
e Sistemas de computacao - redes de computadores
 
Sem vinculo","",45,,,,,,,,,,
"Linha de pesquisa - Sistemas de informacao - Interfaces humano-computador
Vinculo com doutorado em andamento","",46,,,,,,,,,,
"Mes - 11/2004
Linha de pesquisa - Sistemas de informacao; Sistemas de informacao geografica
Vinculo com mestrado, nao concluido","",47,,,,,,,,,,
"Mes de publicacao - 11/04
Linha de pesquisa - Sistemas de informacao; sistemas de informacao geografica
Vinculo com tese doutorado, nao concluida","",48,,,,,,,,,,
"Mes - 11/2004
Linha de pesquisa - Sistemas de informacao - Interfaces humano-computador
Vinculo com doutorado em andamento","",49,,,,,,,,,,
"Mes 10/2004
Linha de pesquisa - sistemas de informacao, Bancos de dados 
 Teoria da computacao - biologia computacional
Vinculo com doutorado em andamento","",50,,,,,,,,,,
"Mes publicacao 12/04 (evento 04/04)
Linha de pesquisa - Sistemas de informação - bancos de dados
Vinculacao com doutorado em andamento","",51,,,,,,,,,,
"Mes - 06/04
Linha de pesquisa - Aplicacoes, processamento de imagens
Vinculo com doutorado defendido 10/04","",52,,,,,,,,,,
"Aceito para publicacao, relacionado a tese de doutorado em andamento (Andre Santanche)
Area de pesquisa - sistemas de informacao - bancos de dados
Mes - outubro","",53,,,,,,,,,,
"Ligada a 2 teses de doutorado em andamento - Juliano Schimiguel e Carlos Cocozza Martins
Linhas de pesquisa - Sistemas de informacao; Interacao Humano-computador, Sistemas de Informacao Geografica
Mes - novembro","",54,,,,,,,,,,
"Trabalho relacionado a doutorado ja concluido em 2003 (Renato Fileto).
Linha de pesquisa Sistemas de Informacao, sistemas de informacao geografica.
Mes da publicacao - novembro","",55,,,,,,,,,,
