PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-POS-DOUTORADO_Id
"Engenharia de Software","Testes de programas","","","","",0,,,,,,,,,,,,,,,,,,
"Visoes Em Bancos de Dados","","","","","",,0,,,,,,,,,,,,,,,,,
"Bancos de Dados","","","","","",,,0,,,,,,,,,,,,,,,,
"Sistemas Geograficos, Interfaces","","","","","",,,,0,,,,,,,,,,,,,,,
"Sistemas Geograficos, Bancos de Dados","Versoes, Sistemas Geograficos","","","","",,,,1,,,,,,,,,,,,,,,
"Sistemas de Workflow","Bancos de Dados, Sistemas Geograficos","","","","",,,,2,,,,,,,,,,,,,,,
"Workflows Cientificos","","","","","",,,,3,,,,,,,,,,,,,,,
"Restricoes de Integridade, Bancos de Dados","","","","","",,,,4,,,,,,,,,,,,,,,
"Bancos de Dados, Interfaces","","","","","",,,,5,,,,,,,,,,,,,,,
"Bancos de Dados, Sistemas Geograficos","","","","","",,,,6,,,,,,,,,,,,,,,
"Bancos de Dados","Sistemas Geograficos","","","","",,,,7,,,,,,,,,,,,,,,
"Bancos de Dados, Sistemas Geograficos","","","","","",,,,8,,,,,,,,,,,,,,,
"Bancos de Dados","","","","","",,,,9,,,,,,,,,,,,,,,
"Bibliotecas Digitais","","","","","",,,,10,,,,,,,,,,,,,,,
"Sistemas Geograficos, Bancos de Dados","","","","","",,,,11,,,,,,,,,,,,,,,
