PARTICIPACAO-EM-PROJETO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO_Id
0,"10","ATUAL","7","2005","","","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação",0
1,"11","ANTERIOR","3","1998","","2004","007901000997","Instituto de Computação","","",0
2,"12","ANTERIOR","7","2003","","2006","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação",0
3,"13","ANTERIOR","7","2004","","2006","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação",0
4,"14","ANTERIOR","12","2006","12","2009","985600069164","Instituto de Computação","985600069164","Instituto de Computação",0
5,"15","ATUAL","9","2006","","","985600001993","Instituto de Computação","985600001993","Instituto de Computação",0
6,"16","ANTERIOR","12","2007","05","2010","007901000997","Instituto de Computação","","",0
7,"17","ANTERIOR","12","2007","12","2010","007901000997","Instituto de Computação","","",0
8,"18","ANTERIOR","07","2007","07","2010","007901000997","Instituto de Computação","","",0
9,"19","ANTERIOR","","1994","","1997","007901000997","Instituto de Computação","","",0
10,"20","ANTERIOR","","2008","","2011","007901000997","Instituto de Computação","","",0
11,"21","ANTERIOR","","2012","","2015","007901000997","Instituto de Computação","","",0
12,"23","ANTERIOR","","2012","","2015","007901000997","Instituto de Computação","","",0
13,"25","ATUAL","","2014","","","007905000002","Instituto de Química","","",0
14,"24","ANTERIOR","","2010","","2013","007901000997","Instituto de Computação","","",0
15,"22","ATUAL","","2011","","","006705000000","Instituto de Matemática e Estatística","","",1
