NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id
"Vincent Mousseau","MOUSSEAU, V.","2","",0,,
"Robert Laurini","LAURINI, R.","3","",0,,
"Bernard Roy","ROY, B.","4","",0,,
"Denis Bouyssou","BOUYSSOU, D.","5","",0,,
"Philippe Rigaux","RIGAUX, P.","6","",0,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",0,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",1,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",2,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",3,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",4,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",5,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",6,,
"Genevieve Jomier","JOMIER, Genevieve","3","",7,,
"Florian Devuyst","DEVUYST, Florian","2","",7,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",7,,
"Genevieve Jomier","JOMIER, Genevieve","2","",8,,
"Maude Manouvrier","MANOUVRIER, Maude","5","",8,,
"Philippe Rigaux","RIGAUX, P.","4","",8,,
"Michel Scholl","SCHOLL, M.","3","",8,,
"Stephane Gançarski","GANCARSKI, S.","6","",8,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",8,,
"Agnes Voisard","VOISARD, A.","3","",9,,
"Michel Scholl","SCHOLL, M.","2","",9,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",9,,
"Genevieve Jomier","JOMIER, Genevieve","2","",10,,
"Stefano Spaccapietra","SPACCAPIETRA, S.","3","",10,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",10,,
"Robert Laurini","LAURINI, R.","3","",11,,
"Patrice Boursier","Boursier, P.","2","",11,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",11,,
"Robert Laurini","LAURINI, R.","3","",12,,
"Michel Scholl","SCHOLL, M.","2","",12,,
"Georges Gardarin","GARDARIN, G.","4","",12,,
"Jean-Pierre Cheiney","CHEINEY, J.","5","",12,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",12,,
"Claudia Maria Bauzer Medeiros","Medeiros, Claudia Bauzer","1","",13,,
"Omar Boucelma","BOUCELMA, O.","2","",13,,
"Laure Berti-Equille","BERTI-EQUILLE, L.","3","",13,,
"Mohand Boughanem","BOUGHANEM, M.","4","",13,,
"Mokrane Bouzeghoub","BOUZEGHOUB, M.","5","",13,,
"Daniela Grigori","GRIGORI, D.","6","",13,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.","1","",,0,
"Nivio Ziviani","ZIVIANI, N.","2","",,0,
"Alberto Henrique Frade Laender","LAENDER, Alberto Henrique Frade","4","9089204821424223",,,0
"Routo Terada","TERADA, R.","1","",,,0
"Carlos Alberto Heuser","HEUSER, C. A.","5","",,,0
"Marcelo Finger","FINGER, M.","2","",,,0
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",,,0
