SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id
"Informática","","",1,,,,,
"Informática","","",28,,,,,
"Informática","","",29,,,,,
"Informática","","",30,,,,,
"Informática","","",31,,,,,
"Informática","","",32,,,,,
"Informática","","",33,,,,,
"Informática","","",34,,,,,
"Atividades de Banco de Dados","","",37,,,,,
"Atividades de Banco de Dados","Informática","",39,,,,,
"Outro","","",45,,,,,
"Informática","","",,0,,,,
"Informática","","",,8,,,,
"Desenvolvimento de Programas (Software) e Prestação de Serviços em Informática","","",,10,,,,
"Atividades de Banco de Dados","","",,12,,,,
"Desenvolvimento de Programas (Software) e Prestação de Serviços em Informática","","",,19,,,,
"Outro","","",,44,,,,
"Informática","","",,,1,,,
"Informática","","",,,,0,,
"Informática","","",,,,,0,
"Informática","","",,,,,1,
"Informática","","",,,,,2,
"Informática","","",,,,,3,
"Informática","","",,,,,4,
"Informática","","",,,,,5,
"Informática","","",,,,,6,
"Informática","","",,,,,20,
"Informática","","",,,,,21,
"Desenvolvimento de Programas (Software) e Prestação de Serviços em Informática","Outro","",,,,,25,
"Administração Pública, Defesa e Seguridade Social","","",,,,,27,
"Informática","","",,,,,37,
"Informática","","",,,,,,0
"Atividades de Banco de Dados","","",,,,,,4
"Atividades dos serviços de tecnologia da informação","","",,,,,,15
