SEQUENCIA-HISTORICO,TIPO-DE-VINCULO,ENQUADRAMENTO-FUNCIONAL,CARGA-HORARIA-SEMANAL,FLAG-DEDICACAO-EXCLUSIVA,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,OUTRAS-INFORMACOES,FLAG-VINCULO-EMPREGATICIO,OUTRO-VINCULO-INFORMADO,OUTRO-ENQUADRAMENTO-FUNCIONAL-INFORMADO,OUTRO-ENQUADRAMENTO-FUNCIONAL-INFORMADO-INGLES,OUTRAS-INFORMACOES-INGLES,ATUACAO-PROFISSIONAL_Id
"2","LIVRE","LIVRE","12","NAO","03","1981","08","1985","Monitoria enquanto cursava doutorado","SIM","Monitor","TEACHING ASSISTANT","","",0
"3","LIVRE","LIVRE","12","NAO","03","1980","03","1982","","NAO","Servidor público ou celetista","AUXILIAR DE ENSINO E PESQUISA","","",1
"4","LIVRE","LIVRE","","SIM","01","1977","12","1980","","NAO","Servidor público ou celetista","ANALISTA DE SISTEMAS","","",2
"5","LIVRE","LIVRE","","SIM","11","1985","03","2001","","NAO","Servidor público ou celetista","Professor","","",3
"6","LIVRE","PROFESSOR_TITULAR","","SIM","03","2001","","","","NAO","Servidor público ou celetista","","","",3
"1","OUTRO","LIVRE","1","NAO","4","1989","","","Membro do Conselho (1989-1994)
Membro da Diretoria (1994-2003)
Presidente (2003-2007)
Membro do Conselho (2007-2010)","SIM","","Membro de conselho, diretoria, e outras insta","","",4
"1","LIVRE","LIVRE","","NAO","01","2001","","","","SIM","Membro de corpo editorial","","","",5
"1","LIVRE","LIVRE","","NAO","01","2003","12","2007","","SIM","Membro de corpo editorial","","","",6
"2","LIVRE","LIVRE","","NAO","07","2008","07","2011","Membro do VLDBJ - conference track","SIM","Membro de corpo editorial","","","",6
"1","LIVRE","LIVRE","","NAO","02","2002","","","","SIM","Membro de corpo editorial","","","",7
"1","LIVRE","LIVRE","","NAO","12","2005","","","membro do corpo editorial, IGI Publishing","SIM","Membro de corpo editorial","","","",8
"1","LIVRE","LIVRE","","NAO","07","1994","07","2000","Editora - chefe do JBCS","SIM","Membro de corpo editorial","","","",9
"1","LIVRE","LIVRE","","NAO","01","1993","","","Prof. visitante, laboratório LAMSADE, dois meses por ano.","SIM","Professor vistante","Professor visitante","","",10
"1","LIVRE","LIVRE","","NAO","01","1994","02","1994","Professor visitante, por 3 meses, nos anos de 1994 e 1995","SIM","Professor vistante","Professor visitante","","",11
"1","LIVRE","LIVRE","","NAO","10","2007","","","ISSN: 1872-4981 , IOS Press","SIM","Membro de corpo editorial","","","",12
"1","LIVRE","LIVRE","","NAO","03","2001","03","2003","Coordenadora do CA-CC","SIM","Membro de comitê assessor","","","",14
"1","LIVRE","LIVRE","","NAO","08","2004","","","","SIM","Membro de comitê assessor","","","",15
"1","LIVRE","LIVRE","","NAO","03","2013","12","2015","","SIM","Membro de comitê assessor","","","",16
