AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,SOFTWARE_Id,PRODUTO-TECNOLOGICO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
0,0,,,,,,,,,,,
1,,0,,,,,,,,,,
2,,,0,,,,,,,,,
3,,,,0,,,,,,,,
4,,,,,0,,,,,,,
5,,,,,1,,,,,,,
6,,,,,2,,,,,,,
7,,,,,3,,,,,,,
8,,,,,4,,,,,,,
9,,,,,5,,,,,,,
10,,,,,6,,,,,,,
11,,,,,7,,,,,,,
12,,,,,8,,,,,,,
13,,,,,9,,,,,,,
14,,,,,10,,,,,,,
15,,,,,11,,,,,,,
16,,,,,12,,,,,,,
17,,,,,13,,,,,,,
18,,,,,14,,,,,,,
19,,,,,15,,,,,,,
20,,,,,16,,,,,,,
21,,,,,17,,,,,,,
22,,,,,18,,,,,,,
23,,,,,19,,,,,,,
24,,,,,20,,,,,,,
25,,,,,21,,,,,,,
26,,,,,22,,,,,,,
27,,,,,23,,,,,,,
28,,,,,24,,,,,,,
29,,,,,25,,,,,,,
30,,,,,26,,,,,,,
31,,,,,27,,,,,,,
32,,,,,28,,,,,,,
33,,,,,29,,,,,,,
34,,,,,30,,,,,,,
35,,,,,31,,,,,,,
36,,,,,32,,,,,,,
37,,,,,33,,,,,,,
38,,,,,34,,,,,,,
39,,,,,35,,,,,,,
40,,,,,36,,,,,,,
41,,,,,37,,,,,,,
42,,,,,38,,,,,,,
43,,,,,39,,,,,,,
44,,,,,40,,,,,,,
45,,,,,153,,,,,,,
46,,,,,,0,,,,,,
47,,,,,,1,,,,,,
48,,,,,,2,,,,,,
49,,,,,,3,,,,,,
50,,,,,,4,,,,,,
51,,,,,,5,,,,,,
52,,,,,,6,,,,,,
53,,,,,,7,,,,,,
54,,,,,,8,,,,,,
55,,,,,,9,,,,,,
56,,,,,,10,,,,,,
57,,,,,,11,,,,,,
58,,,,,,70,,,,,,
59,,,,,,,0,,,,,
60,,,,,,,1,,,,,
61,,,,,,,,0,,,,
62,,,,,,,,1,,,,
63,,,,,,,,2,,,,
64,,,,,,,,3,,,,
65,,,,,,,,,0,,,
66,,,,,,,,,,0,,
67,,,,,,,,,,1,,
68,,,,,,,,,,2,,
69,,,,,,,,,,3,,
70,,,,,,,,,,4,,
71,,,,,,,,,,5,,
72,,,,,,,,,,6,,
73,,,,,,,,,,7,,
74,,,,,,,,,,8,,
75,,,,,,,,,,9,,
76,,,,,,,,,,10,,
77,,,,,,,,,,25,,
78,,,,,,,,,,,0,
79,,,,,,,,,,,1,
80,,,,,,,,,,,2,
81,,,,,,,,,,,3,
82,,,,,,,,,,,4,
83,,,,,,,,,,,5,
84,,,,,,,,,,,6,
85,,,,,,,,,,,,0
86,,,,,,,,,,,,1
87,,,,,,,,,,,,2
88,,,,,,,,,,,,3
89,,,,,,,,,,,,4
90,,,,,,,,,,,,5
91,,,,,,,,,,,,6
92,,,,,,,,,,,,7
93,,,,,,,,,,,,8
94,,,,,,,,,,,,9
95,,,,,,,,,,,,14
