ATUACAO-PROFISSIONAL_Id,NOME-INSTITUICAO,SEQUENCIA-ATIVIDADE,ATUACOES-PROFISSIONAIS_Id
0,Universidade Estadual de Campinas,1,0
1,Computerized Medical Imaging and Graphics,2,0
2,Computerized Medical Imaging and Graphics,3,0
3,IEEE Transactions on Pattern Analysis and Machine Intelligence,4,0
4,Computers & Graphics,5,0
5,Medical Image Analysis,6,0
6,The Visual Computer,7,0
7,Journal of Mathematical Imaging and Vision,8,0
8,IEEE Transactions on Image Processing,9,0
9,Computer Vision and Image Understanding,11,0
10,Optical Engineering (Bellingham) (0091-3286),12,0
11,Pattern Recognition Letters,13,0
12,Multimedia Systems,14,0
13,Pattern Recognition Letters,15,0
14,IEEE Transactions on Medical Imaging (Print),16,0
15,Pattern Recognition,17,0
16,Cornell University,18,0
17,Computer Methods in Biomechanics and Biomedical Engineering,19,0
18,Conselho Nacional de Desenvolvimento Científico e Tecnológico,20,0
19,Fundação de Amparo à Pesquisa do Estado de São Paulo,21,0
20,Graphical Models (Print),22,0
21,JIT. Journal of Information Technology (Print),23,0
22,IEEE Computer Graphics and Applications,24,0
23,IEEE Transactions on Information Technology in Biomedicine,25,0
24,Journal of Electronic Imaging (Print),26,0
25,Pattern Analysis and Applications (Print),27,0
26,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,28,0
27,IEEE Signal Processing Letters,29,0
28,California Institute of Technology,30,0
