NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",0,,,,,,,,,,,
"Jayaram K Udupa","UDUPA, J. K.","2","",0,,,,,,,,,,,
"Flávio K Miyazawa","MIYAZAWA, F. K.","3","8436515676441851",0,,,,,,,,,,,
"Cândido F X de Mendonça","MENDONÇA, C. F. X.","1","1539584880795958",1,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",1,,,,,,,,,,,
"Augusto C Vannini","VANNINI, A. C.","3","",1,,,,,,,,,,,
"José J Lunazzi","LUNAZZI, J. J.","4","4399449818488690",1,,,,,,,,,,,
"Giulliano P Carnielli","CARNIELLI, G. P.","1","4086358353418514",2,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",2,,,,,,,,,,,
"Jayaram K Udupa","UDUPA, J. K.","3","",2,,,,,,,,,,,
"Antonio C F Pessoa","PESSOA, A. C. F.","1","6427481874583205",3,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",3,,,,,,,,,,,
"Ana Elisa de Faria e Silva","SILVA, A. E. F. E.","3","",3,,,,,,,,,,,
"Ricardo M Nishihara","NISHIHARA, R. M.","4","2068167791606830",3,,,,,,,,,,,
"Roberto de A Lotufo","LOTUFO, Roberto de A","5","9224426261471914",3,,,,,,,,,,,
