NATUREZA,TITULO,ANO,PAIS,IDIOMA,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
Doutorado,Osteoarthritis Imaging by Quanti cation of Tibial Trabecular Bone,2013,Dinamarca,Inglês,0
Doutorado,Comparação Prospectiva entre os Tratamentos Clínico e Cirúrgico para Epilepsia de Lobo Temporal Medial,2009,Brasil,Português,1
Doutorado,Novel 2D and 3D Digital Shape Modeling Strategies,2010,Inglaterra,Inglês,2
Doutorado,Aprendizado Computacional Baseado em distÂncia a Segmentos de Retas,2009,Brasil,Português,3
Doutorado,Tensor based descriptors applied to human action recognition,2013,Brasil,Inglês,4
Doutorado,Atlas Anatômico da Cabeçaa e do Pescoçoo: Aplicação à Radioterapia Adaptativa,2008,Brasil,Português,5
Doutorado,Representação de Sistemas Biológicos a partir de Sistemas Dinâmicos: Controle da transcrição a partir do Estrógeno,2008,Brasil,Português,6
Doutorado,Avaliação da Articulação Temporomadibular (ATM) com  Reconstrução Multiplanar de Imagens por Ressonância Magnética em  Pacientes com e sem Cefaléia Secondária a Desordem  Temporomadibular,2008,Brasil,Português,7
Doutorado,"Segmentacao de Imagens Naturais Baseada em Modelos de Cor de Diferenca Cromatica, Mascaras de Deteccao de Contornos e Supressao Morfologica de Texturas",2015,Brasil,Português,8
Doutorado,Efficient High-Dimensional Filtering for Image and Video Processing,2015,Brasil,Inglês,9
Doutorado,Image processing on optimal volume sampling lattices: Thinking outside the box,2015,Suécia,Inglês,10
Doutorado,"Medial Descriptors for 3D Shape Segmentation, Reconstruction, and Analysis.",2015,Brasil,Português,11
Doutorado,Skeletonization Methods for Image and Volume Inpainting,2016,Holanda,Inglês,12
