NATUREZA,TITULO,ANO,PAIS,IDIOMA,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id
Tese de doutorado,Representação e Recuperação Eficientes em Grandes Bancos de Dados de Imagens Heterogêneas,2002,Brasil,Português,0
Tese de doutorado,Ambiente de Gerenciamento de Imagens e Dados Espaciais para Desenvolvimento de Aplicações Ambientais,2004,Brasil,Português,1
Tese de doutorado,Segmentação de Displasias Corticais Focais em Imagens de Ressonância Magnética do Cérebro Humano,2008,Brasil,Português,2
Tese de doutorado,Classificação supervisionada de padrões por florestas de caminhos ótimos,2008,Brasil,Português,3
Tese de doutorado,"Processamento de Amostras Fecais e Desenvolvimento da Tecnica de Analise de Imagens por Computador, para o Diagnostico das Enteroparasitoses",2008,Brasil,Português,4
Tese de doutorado,Um modelo discreto para reconhecimento e delineamento de objetos em imagens,2009,Brasil,Português,5
Tese de doutorado,Segmentação de substâncias cinza e branca do cérebro humano em imagens de ressonância magnética e sua avaliação,2010,Brasil,Português,6
Tese de doutorado,Agrupamento por Floresta de Caminhos Ótimos com Aplicações em Análise de Imagens,2008,Brasil,Português,7
Tese de doutorado,Recuperação de imagens por conteúdo usando realimentação de relevância e classificador por floresta de caminhos ótimos,2011,Brasil,Português,8
Tese de doutorado,Semi-Automatic Classification of Remote Sensing Images,2009,Brasil,Inglês,9
Tese de doutorado,Caracterização e Reconhecimento de Faces: Uma Abordagem com Respaldo Biológico,2013,Brasil,Inglês,10
Tese de doutorado,Aprendizado de máquina com anotação em tempo real,2014,Brasil,Português,11
Tese de doutorado,Interactive Segmentation of Objects in Image and Video using Graphs and Fuzzy Models of Content Knowledge,2015,Brasil,Inglês,12
Tese de doutorado,Interactive Image Analysis: From Segmentation to Classification,2017,Brasil,Inglês,13
Tese de doutorado,Determinação de Tortuosidade de Carbonatos usando Florestas de Caminhos Ótimos,2017,Brasil,Português,14
Tese de doutorado,Novos Algoritmos de Aprendizado de Máquina por Floresta de Caminhos Ótimos,2016,Brasil,Português,15
