NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
Dissertação de mestrado,ACADEMICO,Um Método Rápido para Rendering de Volumes com Perspectiva Digital,1999,Brasil,Português,0
Dissertação de mestrado,ACADEMICO,Visualização 3D em Medicina usando Estereogramas Holográficos,2000,Brasil,Português,1
Dissertação de mestrado,ACADEMICO,Projeto de Operadores de Processamento e Análise de Imagens baseados na Transformada Imagem-Floresta,2001,Brasil,Português,2
Dissertação de mestrado,ACADEMICO,Shell Rendering com Fatoração Shear-Warp,2002,Brasil,Português,3
Dissertação de mestrado,ACADEMICO,Segmentação Interativa de Volumes baseada em Regiões,2004,Brasil,Português,4
Dissertação de mestrado,ACADEMICO,Segmentação e Visualização Tridimensional Interativa de Imagens de Ressonância Magnética,2004,Brasil,Português,5
Dissertação de mestrado,ACADEMICO,Uma Plataforma de Hardware para Processamento de Imagens baseada na Transformada Imagem-Floresta,2006,Brasil,Português,6
Dissertação de mestrado,ACADEMICO,Segmentação de Imagens pela Transformada Imagem-Floresta,2006,Brasil,Português,7
Dissertação de mestrado,ACADEMICO,Descritores de forma baseados em tensor scale,2007,Brasil,Português,8
Dissertação de mestrado,ACADEMICO,Análise de Assimetria dos Ventrículos Laterais a partir de Imagens de Ressonância Magnética,2008,Brasil,Português,9
Dissertação de mestrado,ACADEMICO,Segmentação de Imagens de Parasitos Intestinais do Homem,2007,Brasil,Português,10
Dissertação de mestrado,ACADEMICO,Registro de imagens 3D do Cérebro Humano,2009,Brasil,Português,11
Dissertação de mestrado,ACADEMICO,Aglomeração de pixels por florestas de caminhos ótimos e sua aplicação em Segmentação de Fundo Imagens Naturais,2011,Brasil,Português,12
Dissertação de mestrado,ACADEMICO,Novos algoritmos de aprendizado para classificação de padrões por floresta de caminhos ótimos,2011,Brasil,Português,13
Dissertação de mestrado,ACADEMICO,Avaliação de uma nova técnica (TF-TEST MODIFIED) destinada ao diagnóstico de parasitos intestinais em amostras fecais,2013,Brasil,Português,14
Dissertação de mestrado,ACADEMICO,Segmentação de Imagens Sísmicas e de Rocha utilizando Florestas de Caminhos Ótimos,2013,Brasil,Português,15
Dissertação de mestrado,ACADEMICO,A Fast and Robust Negative Mining Approach for User Enrollment in Face Recognition Systems,2015,Brasil,Inglês,16
Dissertação de mestrado,ACADEMICO,Medical Image Segmentation using Statistical and Fuzzy Object Shape Models,2014,Brasil,Português,17
Dissertação de mestrado,ACADEMICO,Validação da Técnica de TF-TEST Quantified para o Diagnóstico da Esquistossomíase Mansônica,2015,Brasil,Português,18
Dissertação de mestrado,ACADEMICO,Interactive Segmentation of Multiple 3D Objects in Medical Images by Optimum Graph Cuts,2015,Brasil,Inglês,19
Dissertação de mestrado,ACADEMICO,Supervised Learning of Image Features with Convolutional Neuronal Network under Data Constraints,2017,Brasil,Português,20
Dissertação de mestrado,ACADEMICO,Utilização do Princípio Técnico de Flotação como Nova Ferramenta de Detecção de Enteropasitos Humanos,2014,Brasil,Português,21
Dissertação de mestrado,ACADEMICO,&#65532;Contextual superpixel-based active learning for remote sensing image classification.,2015,Brasil,Português,22
Dissertação de mestrado,ACADEMICO,Utilização do Princípio Técnico de Flotação como Nova Ferramenta de Detecção de Enteropasitos Humanos,2016,Brasil,Português,23
Dissertação de mestrado,ACADEMICO,Descoberta de Biomarcadores em Neuroimagem Associados à Doença de Alzheimer,2017,Brasil,Português,24
Dissertação de mestrado,ACADEMICO,Segmentação de Imagens Tomográficas usando Contornos Deformáveis com Segmentos de Custo Mínimo,2000,Brasil,Português,25
