NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id
COMPLETO,An ultra-fast user-steered image segmentation paradigm: live wire on the fly,2000,,Inglês,MEIO_DIGITAL,,SIM,NAO,0
COMPLETO,Video Quality Assessment Using Objective Parameters Based on Image Segmentation,1999,,Inglês,IMPRESSO,,NAO,NAO,1
COMPLETO,A 3D generalization of user-steered live-wire segmentation,2000,,Inglês,IMPRESSO,,NAO,NAO,2
COMPLETO,Multiscale skeletons by image foresting transform and its application to neuromorphometry,2002,,Inglês,IMPRESSO,,NAO,NAO,3
COMPLETO,Cell Histograms Versus Color Histograms for Image Representation and Retrieval,2003,,Inglês,IMPRESSO,,NAO,NAO,4
COMPLETO,Fuzzy-connected 3D image segmentation at interactive speeds,2002,,Inglês,IMPRESSO,,NAO,NAO,5
COMPLETO,"The image foresting transform: theory, algorithms, and applications",2004,,Inglês,MEIO_DIGITAL,,SIM,NAO,6
COMPLETO,Iso-Shaping Rigid Bodies for Estimating Their Motion From Image Sequences,2004,,Inglês,MEIO_DIGITAL,,NAO,NAO,7
COMPLETO,A graph-based approach for multiscale shape analysis,2004,,Inglês,IMPRESSO,,NAO,NAO,8
COMPLETO,Interactive Volume Segmentation With Differential Image Foresting Transforms,2004,,Inglês,IMPRESSO,,SIM,NAO,9
COMPLETO,3D visualization to assist iterative object definition from medical images,2006,,Inglês,IMPRESSO,,NAO,NAO,10
COMPLETO,Content-Based Image Retrieval: Theory and Applications,2006,,Inglês,IMPRESSO,[http://dblp.uni-trier.de],NAO,NAO,11
COMPLETO,Contour salience descriptors for effective image retrieval and analysis.,2007,,Inglês,IMPRESSO,,NAO,NAO,12
COMPLETO,Automatic Image Segmentation by Tree Pruning,2007,,Inglês,IMPRESSO,,NAO,NAO,13
COMPLETO,Learning How to Extract Rotation-Invariant and Scale-Invariant Features from Texture Images,2008,,Inglês,MEIO_DIGITAL,,NAO,NAO,14
COMPLETO,A genetic programming framework for content-based image retrieval,2009,,Inglês,IMPRESSO,,NAO,NAO,15
COMPLETO,Recentes Avanços Tecnológicos no Exame Parasitológico de Amostras de Fezes,2008,,Português,IMPRESSO,,NAO,NAO,16
COMPLETO,Data clustering as an optimum-path forest problem with applications in image analysis,2009,,Inglês,IMPRESSO,,NAO,NAO,17
COMPLETO,Supervised pattern classification based on optimum-path forest,2009,,Inglês,IMPRESSO,,NAO,NAO,18
COMPLETO,Object Delineation by ?-Connected Components,2008,,Inglês,MEIO_DIGITAL,,NAO,NAO,19
COMPLETO,Shape feature extraction and description based on tensor scale,2010,,Inglês,NAO_INFORMADO,,NAO,NAO,20
